0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,Transcript
0.297,3.96,4.856,6.099,8.805,9.431,4.68,5.729,2.304,4.692,A1
2.112,7.493,0.891,0.43,2.755,1.237,3.902,4.29,4.235,6.826,A1
1.172,18.87,7.212,8.505,5.564,8.839,8.66,2.645,3.155,7.835,A1
6.618,13.316,3.214,5.4,3.252,0.053,0.178,7.037,9.929,5.912,A1
2.458,0.384,5.526,14.029,2.534,0.487,1.774,7.343,9.991,4.478,A1
4.327,3.128,13.867,3.636,8.66,6.682,1.313,3.719,2.704,2.305,A1
13.479,3.431,6.077,5.393,0.011,14.111,2.944,3.892,4.908,4.255,A1
26.109,8.962,2.458,8.908,1.712,7.361,3.618,9.559,7.115,1.806,A1
6.877,5.894,1.539,0.009,8.362,7.845,7.662,6.448,3.206,2.202,A1
4.1,4.36,5.429,3.463,5.073,4.716,7.702,1.296,1.353,6.702,A1
9.081,5.472,2.015,9.542,2.15,0.557,1.165,8.707,3.314,0.882,A1
1.907,2.717,1.442,3.023,3.566,3.177,13.158,1.907,2.247,0.841,A1
2.641,13.219,2.836,2.469,11.636,0.247,2.714,5.275,9.397,5.477,A1
3.074,0.038,2.555,4.147,0.437,4.712,2.206,10.081,6.547,4.135,A1
1.345,5.04,1.583,0.07,1.334,0.524,9.113,3.904,5.607,5.355,A1
9.254,4.197,7.234,11.775,13.311,10.533,3.545,2.651,2.447,8.502,A1
17.595,8.584,2.404,4.097,3.376,7.24,0.405,13.301,3.779,1.155,A1
2.415,6.38,0.254,8.029,0.735,5.727,1.644,4.938,8.703,4.171,A1
5.613,5.083,6.564,6.718,3.862,0.839,2.85,2.858,4.049,5.729,A1
7.871,10.28,2.501,8.886,6.509,1.717,4.385,3.243,6.98,10.906,A1
13.014,6.045,7.774,5.84,11.22,4.569,5.382,6.074,8.965,3.943,A1
3.625,7.731,4.954,2.253,3.419,4.876,3.344,0.282,3.133,7.684,A1
7.471,3.755,4.187,1.136,1.459,3.119,4.511,5.16,1.691,5.345,A1
