# percent estimate error for imitations; TTS: 5%-90%, sampling interval size = 30 sec 
0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,Transcript
5.607,21.869,2.508,3.869,13.689,16.328,1.164,11.213,23.902,19.607,A1
13.738,13.738,61.41,39.459,25.869,13.738,28.639,21.082,4.607,4.262,A1
51.262,38.115,19.836,30.951,17.803,15.508,13.344,5.607,11.197,6.967,A1
2.508,9.672,8.607,9.672,9.672,3.328,3.59,16.066,4.607,8.328,A1
10.639,5.607,24.852,20.115,16.787,16.18,2.23,7.934,21.295,2.066,A1
2.508,39.066,20.787,27.279,34.049,2.508,29.984,10.639,3.016,6.525,A1
86.852,14.689,15.77,32.295,8.656,18.754,11.705,29.787,1.492,2.902,A1
43.131,21.869,0.475,1.164,4.607,16.984,6.295,6.574,3.59,4.77,A1
35.0,17.803,23.902,24.18,0.475,14.689,21.459,3.869,21.869,11.082,A1
35.0,99.049,36.082,21.459,5.607,1.557,20.115,22.246,8.148,8.836,A1
21.869,38.115,46.23,13.344,13.738,12.262,11.033,2.508,14.246,13.344,A1
86.852,2.508,10.639,3.869,2.574,17.131,15.098,4.459,24.393,11.541,A1
59.377,17.803,70.607,7.918,23.836,19.426,16.443,9.475,3.016,45.328,A1
91.869,1.557,17.803,16.443,5.557,36.639,11.705,11.787,10.18,19.213,A1
21.869,21.869,50.295,27.279,19.77,6.426,13.344,21.656,4.607,0.246,A1
29.984,5.607,48.262,46.23,9.623,16.328,5.902,33.475,10.689,16.443,A1
29.984,5.607,7.639,18.754,10.689,2.508,9.672,24.557,8.607,15.541,A1
2.508,22.82,1.557,1.164,50.295,4.951,2.508,2.131,13.689,5.164,A1
67.508,35.0,24.852,19.148,17.803,34.197,26.885,15.852,11.197,4.705,A1
5.607,30.951,18.754,18.754,20.787,12.262,9.279,12.574,9.164,4.77,A1
38.115,14.689,34.049,3.869,9.623,7.246,17.41,13.164,15.705,11.033,A1
67.508,51.262,30.951,12.377,16.787,8.197,21.869,17.803,5.557,14.197,A1
26.885,9.672,35.0,25.918,18.82,33.377,16.721,2.508,9.623,5.213,A1
2.508,34.049,7.639,11.984,22.885,16.984,4.934,18.18,2.508,6.525,A1
103.098,1.557,7.639,9.672,5.607,20.377,3.18,12.574,10.639,5.607,A1
54.361,10.639,0.475,5.607,5.607,2.361,6.967,6.77,19.836,7.426,A1
51.262,35.0,46.23,19.148,17.738,4.131,10.361,4.246,6.574,3.803,A1
21.869,54.361,11.705,8.328,32.016,4.951,24.852,19.918,9.623,7.475,A1
35.0,26.885,3.59,9.672,22.885,14.557,9.672,34.623,20.852,12.443,A1
10.639,26.885,32.016,5.213,2.508,12.262,7.639,1.344,5.607,6.525,A1
35.0,26.885,8.607,26.885,22.885,9.672,13.344,10.262,1.492,22.77,A1
35.0,67.508,38.115,15.098,8.656,4.951,30.951,8.508,2.066,3.869,A1
51.262,6.574,21.869,15.098,8.656,7.377,13.344,7.148,3.016,15.607,A1
5.607,51.262,5.607,44.885,22.82,22.672,1.164,0.393,10.131,4.77,A1
10.639,14.689,23.902,16.443,16.787,5.754,11.705,14.902,15.197,0.197,A1
43.131,99.049,29.984,16.443,24.902,45.426,3.59,3.672,1.557,14.639,A1
46.23,35.0,13.738,4.262,9.672,10.639,5.902,0.197,20.852,22.77,A1
35.0,50.295,20.787,5.213,6.623,30.951,15.77,29.41,13.738,21.459,A1
5.607,22.82,38.115,28.639,15.77,9.672,2.23,10.262,9.164,0.246,A1
59.377,71.557,0.475,39.066,18.82,6.426,9.0,6.77,19.836,6.967,A1
26.885,2.508,12.672,2.508,22.885,6.426,17.131,1.344,24.902,4.77,A1
2.508,17.803,32.016,9.672,23.836,1.705,15.377,3.082,4.541,16.0,A1
13.738,54.361,3.59,1.164,20.852,9.82,24.574,15.475,7.082,7.475,A1
67.508,1.557,17.803,16.049,26.934,1.557,1.836,9.475,0.541,14.197,A1
233.098,29.984,13.738,17.41,19.836,5.754,1.836,1.557,2.066,19.148,A1
18.754,74.672,21.869,2.902,20.852,0.885,2.508,21.279,2.0,6.967,A1
29.984,13.738,27.951,10.639,7.639,4.803,4.934,13.164,8.607,9.279,A1
43.131,67.508,9.672,5.607,1.492,3.328,14.016,34.623,25.41,8.328,A1
35.0,13.738,32.016,2.902,4.607,0.885,31.623,19.541,1.492,14.639,A1
94.984,35.0,26.885,18.754,15.77,17.803,4.934,5.033,0.984,11.984,A1
10.639,18.754,27.951,2.902,9.623,12.918,1.164,6.574,12.213,24.18,A1
43.131,94.984,9.672,26.885,0.475,4.131,14.016,8.885,8.656,3.803,A1
59.377,6.574,3.59,19.148,15.77,13.885,13.738,5.41,16.787,11.934,A1
43.131,10.639,0.475,21.869,17.803,12.918,13.738,4.246,14.18,3.869,A1
70.607,6.574,17.803,8.328,11.705,3.328,5.213,0.967,5.557,11.984,A1
2.508,10.639,30.951,10.639,0.475,7.246,16.443,2.508,7.639,16.049,A1
18.754,6.574,21.869,5.213,0.541,3.18,2.508,16.639,6.066,3.361,A1
59.377,43.131,21.869,0.197,13.738,15.508,15.377,9.672,11.656,22.311,A1
2.508,21.869,18.754,2.902,6.574,17.131,2.902,9.475,8.656,9.279,A1
35.0,10.639,0.475,47.59,9.623,11.443,5.902,9.672,11.197,20.967,A1
18.754,47.197,23.902,14.689,13.689,19.426,23.492,9.098,3.082,27.279,A1
