0.05,0.1,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,Transcript,Feature,Frequency Density Group
50.0,25.0,66.675,12.5,75.0,37.5,50.0,33.325,14.275,25.0,22.225,B1,select word,rare
100.0,25.0,66.675,37.5,33.325,18.75,25.0,33.325,3.575,6.25,8.325,B1,select word,rare
350.0,75.0,50.0,62.5,25.0,12.5,5.0,33.325,35.725,9.375,2.775,B1,select word,rare
100.0,25.0,16.675,37.5,116.675,43.75,35.0,16.675,25.0,31.25,25.0,B1,select word,rare
250.0,0.0,50.0,37.5,58.325,18.75,45.0,16.675,10.725,0.0,16.675,B1,select word,rare
50.0,75.0,133.325,37.5,50.0,12.5,10.0,0.0,17.85,12.5,50.0,B1,select word,rare
150.0,50.0,50.0,25.0,33.325,18.75,20.0,8.325,50.0,9.375,13.9,B1,select word,rare
50.0,25.0,100.0,25.0,25.0,12.5,45.0,8.325,7.15,21.875,19.45,B1,select word,rare
100.0,50.0,16.675,12.5,0.0,6.25,15.0,16.675,3.575,6.25,2.775,B1,select word,rare
100.0,25.0,16.675,87.5,0.0,37.5,65.0,16.675,0.0,21.875,2.775,B1,select word,rare
150.0,75.0,16.675,37.5,8.325,6.25,0.0,20.825,32.15,12.5,22.225,B1,select word,rare
0.0,50.0,33.325,25.0,0.0,25.0,15.0,37.5,14.275,6.25,0.0,B1,select word,rare
50.0,25.0,33.325,25.0,33.325,12.5,25.0,16.675,7.15,40.625,11.1,B1,select word,rare
50.0,50.0,50.0,37.5,25.0,12.5,10.0,25.0,46.425,50.0,16.675,B1,select word,rare
50.0,75.0,116.675,12.5,16.675,0.0,5.0,4.175,3.575,3.125,0.0,B1,select word,rare
100.0,75.0,50.0,50.0,16.675,6.25,45.0,12.5,21.425,25.0,16.675,B1,select word,rare
100.0,75.0,83.325,12.5,8.325,37.5,10.0,8.325,32.15,9.375,63.9,B1,select word,rare
50.0,0.0,16.675,25.0,25.0,12.5,20.0,25.0,7.15,9.375,8.325,B1,select word,rare
0.0,50.0,100.0,0.0,25.0,56.25,40.0,8.325,3.575,18.75,16.675,B1,select word,rare
100.0,100.0,16.675,12.5,33.325,37.5,10.0,8.325,10.725,3.125,41.675,B1,select word,rare
0.0,25.0,16.675,37.5,0.0,43.75,10.0,8.325,42.85,6.25,16.675,B1,select word,rare
50.0,100.0,66.675,12.5,25.0,18.75,25.0,29.175,14.275,15.625,8.325,B1,select word,rare
50.0,75.0,66.675,25.0,25.0,37.5,25.0,0.0,25.0,3.125,2.775,B1,select word,rare
200.0,75.0,50.0,25.0,25.0,6.25,30.0,12.5,3.575,15.625,41.675,B1,select word,rare
0.0,50.0,33.325,50.0,50.0,25.0,15.0,8.325,67.85,0.0,16.675,B1,select word,rare
0.0,25.0,50.0,62.5,0.0,50.0,40.0,12.5,42.85,46.875,5.55,B1,select word,rare
0.0,75.0,33.325,50.0,0.0,25.0,20.0,37.5,10.725,0.0,5.55,B1,select word,rare
50.0,25.0,33.325,12.5,33.325,50.0,5.0,20.825,17.85,12.5,11.1,B1,select word,rare
100.0,0.0,16.675,87.5,0.0,12.5,55.0,29.175,32.15,3.125,5.55,B1,select word,rare
100.0,100.0,50.0,50.0,41.675,6.25,45.0,8.325,25.0,12.5,13.9,B1,select word,rare
50.0,25.0,16.675,50.0,33.325,12.5,10.0,4.175,3.575,50.0,8.325,B1,select word,rare
50.0,25.0,66.675,12.5,33.325,0.0,20.0,8.325,17.85,6.25,22.225,B1,select word,rare
50.0,50.0,100.0,0.0,8.325,62.5,25.0,12.5,21.425,21.875,33.325,B1,select word,rare
0.0,50.0,16.675,37.5,75.0,25.0,25.0,4.175,3.575,3.125,22.225,B1,select word,rare
50.0,75.0,0.0,25.0,8.325,0.0,35.0,29.175,14.275,15.625,5.55,B1,select word,rare
0.0,50.0,66.675,25.0,25.0,56.25,35.0,12.5,35.725,9.375,11.1,B1,select word,rare
50.0,50.0,16.675,50.0,75.0,25.0,25.0,0.0,35.725,25.0,22.225,B1,select word,rare
0.0,0.0,16.675,112.5,33.325,6.25,60.0,16.675,21.425,28.125,8.325,B1,select word,rare
0.0,50.0,50.0,12.5,66.675,12.5,65.0,25.0,10.725,25.0,25.0,B1,select word,rare
50.0,50.0,116.675,25.0,33.325,18.75,45.0,4.175,25.0,25.0,2.775,B1,select word,rare
50.0,25.0,16.675,12.5,25.0,18.75,25.0,33.325,32.15,21.875,27.775,B1,select word,rare
100.0,0.0,50.0,62.5,50.0,75.0,5.0,20.825,10.725,25.0,8.325,B1,select word,rare
150.0,25.0,16.675,50.0,41.675,0.0,10.0,20.825,39.275,12.5,19.45,B1,select word,rare
0.0,75.0,66.675,25.0,16.675,0.0,45.0,20.825,28.575,34.375,38.9,B1,select word,rare
0.0,25.0,66.675,37.5,75.0,12.5,20.0,41.675,25.0,12.5,27.775,B1,select word,rare
0.0,25.0,16.675,62.5,41.675,0.0,15.0,16.675,17.85,12.5,2.775,B1,select word,rare
0.0,25.0,33.325,75.0,25.0,25.0,25.0,29.175,39.275,3.125,25.0,B1,select word,rare
0.0,50.0,0.0,0.0,41.675,18.75,40.0,4.175,21.425,34.375,30.55,B1,select word,rare
50.0,0.0,66.675,0.0,41.675,18.75,20.0,25.0,7.15,12.5,16.675,B1,select word,rare
50.0,50.0,16.675,37.5,50.0,25.0,35.0,4.175,14.275,12.5,2.775,B1,select word,rare
100.0,25.0,33.325,37.5,16.675,25.0,10.0,29.175,10.725,3.125,19.45,B1,select word,rare
50.0,25.0,33.325,25.0,41.675,25.0,15.0,0.0,35.725,9.375,5.55,B1,select word,rare
0.0,75.0,66.675,50.0,50.0,0.0,25.0,8.325,25.0,12.5,11.1,B1,select word,rare
50.0,75.0,16.675,37.5,0.0,25.0,5.0,0.0,32.15,6.25,13.9,B1,select word,rare
0.0,25.0,66.675,25.0,33.325,31.25,20.0,16.675,25.0,15.625,36.1,B1,select word,rare
250.0,25.0,16.675,0.0,66.675,12.5,10.0,20.825,10.725,12.5,2.775,B1,select word,rare
50.0,50.0,33.325,25.0,41.675,12.5,10.0,12.5,3.575,3.125,11.1,B1,select word,rare
0.0,75.0,33.325,0.0,0.0,31.25,10.0,16.675,10.725,12.5,16.675,B1,select word,rare
100.0,0.0,33.325,75.0,33.325,56.25,5.0,20.825,17.85,3.125,8.325,B1,select word,rare
50.0,50.0,100.0,50.0,58.325,12.5,25.0,29.175,7.15,31.25,33.325,B1,select word,rare
50.0,100.0,33.325,25.0,8.325,12.5,5.0,16.675,39.275,21.875,8.325,B1,select word,rare
100.0,75.0,0.0,37.5,66.675,6.25,50.0,12.5,3.575,3.125,36.1,B1,select word,rare
50.0,25.0,33.325,12.5,0.0,50.0,45.0,25.0,7.15,9.375,11.1,B1,select word,rare
0.0,50.0,0.0,37.5,8.325,31.25,15.0,4.175,28.575,9.375,25.0,B1,select word,rare
50.0,25.0,50.0,12.5,16.675,0.0,35.0,4.175,14.275,15.625,5.55,B1,select word,rare
0.0,25.0,33.325,50.0,25.0,0.0,25.0,4.175,32.15,6.25,13.9,B1,select word,rare
0.0,0.0,16.675,0.0,0.0,12.5,15.0,29.175,0.0,21.875,2.775,B1,select word,rare
100.0,0.0,66.675,12.5,0.0,25.0,10.0,25.0,28.575,15.625,8.325,B1,select word,rare
50.0,75.0,50.0,25.0,8.325,31.25,25.0,33.325,32.15,18.75,22.225,B1,select word,rare
50.0,25.0,16.675,75.0,16.675,12.5,20.0,0.0,35.725,12.5,16.675,B1,select word,rare
100.0,75.0,33.325,87.5,0.0,18.75,15.0,20.825,17.85,3.125,11.1,B1,select word,rare
100.0,25.0,16.675,50.0,25.0,43.75,5.0,12.5,7.15,3.125,2.775,B1,select word,rare
0.0,25.0,16.675,62.5,41.675,56.25,10.0,45.825,32.15,46.875,41.675,B1,select word,rare
50.0,25.0,33.325,12.5,50.0,31.25,35.0,20.825,32.15,34.375,33.325,B1,select word,rare
100.0,0.0,0.0,25.0,66.675,31.25,5.0,20.825,7.15,3.125,11.1,B1,select word,rare
