0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Feature,Frequency Density Group
57.725,100.0,65.125,4.925,0.075,4.925,B1,select word,rare
5.15,174.475,65.125,10.05,19.95,25.05,B1,select word,rare
47.425,10.6,92.775,4.925,9.775,25.05,B1,select word,rare
57.725,9.775,40.2,19.925,19.95,25.05,B1,select word,rare
110.3,72.35,5.15,40.025,19.95,4.925,B1,select word,rare
100.0,70.21,33.469,37.988,11.185,25.667,A3,select word,rare
95.667,11.296,25.667,55.481,0.21,25.667,A3,select word,rare
56.531,47.84,33.469,13.346,11.296,25.667,A3,select word,rare
19.16,28.123,33.062,13.346,11.185,25.667,A3,select word,rare
40.42,28.123,25.667,55.481,11.296,25.667,A3,select word,rare
95.667,40.864,33.062,3.494,0.21,25.938,A3,select word,rare
78.728,47.84,33.469,55.481,11.185,25.938,A3,select word,rare
60.284,47.84,18.272,13.346,11.185,25.938,A3,select word,rare
78.728,8.42,25.667,37.988,11.296,25.667,A3,select word,rare
20.568,18.272,33.062,55.481,0.21,25.938,A3,select word,rare
19.16,8.42,18.272,55.481,11.185,25.667,A3,select word,rare
19.16,11.296,25.667,3.494,11.185,25.667,A3,select word,rare
40.42,47.84,33.469,55.481,0.21,25.938,A3,select word,rare
2.16,11.296,25.667,3.494,0.21,25.667,A3,select word,rare
40.42,11.296,25.667,55.481,0.21,25.938,A3,select word,rare
95.667,28.123,33.062,37.988,11.185,25.938,A3,select word,rare
56.531,8.42,3.37,13.346,11.296,25.938,A3,select word,rare
19.16,47.84,3.37,55.481,11.185,25.938,A3,select word,rare
41.296,70.21,25.667,3.494,11.185,25.938,A3,select word,rare
40.42,18.272,33.469,55.481,11.296,25.938,A3,select word,rare
2.16,47.84,33.062,55.481,11.185,25.667,A3,select word,rare
60.284,18.272,3.37,37.988,11.296,25.938,A3,select word,rare
100.0,11.296,33.062,3.494,11.185,25.938,A3,select word,rare
100.0,40.864,40.864,37.988,0.21,25.667,A3,select word,rare
40.42,18.272,3.37,3.494,11.296,25.667,A3,select word,rare
56.531,28.123,3.37,13.346,0.21,25.667,A3,select word,rare
41.296,11.296,33.062,55.481,11.296,25.667,A3,select word,rare
40.42,28.123,3.37,55.481,11.185,25.938,A3,select word,rare
40.42,28.123,33.469,37.988,0.21,25.667,A3,select word,rare
41.296,11.296,33.062,3.494,0.21,25.938,A3,select word,rare
19.16,11.296,40.864,37.988,0.21,25.667,A3,select word,rare
95.667,28.123,25.667,3.494,0.21,25.667,A3,select word,rare
95.667,47.84,3.37,55.481,0.21,25.938,A3,select word,rare
56.531,28.123,25.667,37.988,11.296,25.938,A3,select word,rare
60.284,18.272,25.667,3.494,11.296,25.667,A3,select word,rare
100.0,70.21,40.864,13.346,11.185,25.667,A3,select word,rare
100.0,11.296,3.37,3.494,11.185,25.938,A3,select word,rare
17.407,11.296,40.864,55.481,11.296,25.938,A3,select word,rare
100.0,18.272,33.062,55.481,0.21,25.667,A3,select word,rare
41.296,40.864,25.667,13.346,0.21,25.667,A3,select word,rare
40.42,8.42,33.062,37.988,11.296,25.938,A3,select word,rare
100.0,40.864,3.37,3.494,0.21,25.938,A3,select word,rare
40.42,47.84,25.667,13.346,11.185,25.667,A3,select word,rare
19.16,40.864,40.864,13.346,11.296,25.667,A3,select word,rare
60.284,28.123,33.062,3.494,11.185,25.938,A3,select word,rare
41.296,18.272,25.667,3.494,0.21,25.667,A3,select word,rare
40.42,8.42,3.37,3.494,0.21,25.667,A3,select word,rare
41.296,18.272,3.37,55.481,11.296,25.938,A3,select word,rare
36.975,18.272,33.062,3.494,11.185,25.938,A3,select word,rare
17.407,11.296,40.864,13.346,11.296,25.667,A3,select word,rare
41.296,8.42,25.667,55.481,11.185,25.938,A3,select word,rare
19.16,47.84,3.37,3.494,0.21,25.938,A3,select word,rare
20.568,18.272,40.864,55.481,0.21,25.938,A3,select word,rare
17.407,40.864,25.667,55.481,11.296,25.667,A3,select word,rare
36.975,11.296,3.37,55.481,11.296,25.667,A3,select word,rare
56.531,28.123,40.864,3.494,0.21,25.667,A3,select word,rare
36.975,40.864,3.37,13.346,11.185,25.667,A3,select word,rare
78.728,40.864,40.864,3.494,0.21,25.667,A3,select word,rare
19.16,47.84,3.37,37.988,11.185,25.938,A3,select word,rare
41.296,18.272,33.469,3.494,11.296,25.667,A3,select word,rare
36.975,28.123,25.667,3.494,11.296,25.667,A3,select word,rare
60.284,28.123,33.469,55.481,0.21,25.938,A3,select word,rare
95.667,18.272,40.864,13.346,11.296,25.938,A3,select word,rare
56.531,40.864,3.37,3.494,0.21,25.667,A3,select word,rare
19.16,18.272,33.062,13.346,11.185,25.938,A3,select word,rare
19.16,18.272,33.469,55.481,11.296,25.667,A3,select word,rare
20.568,11.296,25.667,37.988,11.296,25.938,A3,select word,rare
20.568,28.123,33.062,55.481,11.185,25.938,A3,select word,rare
60.284,47.84,3.37,13.346,0.21,25.667,A3,select word,rare
100.0,18.272,3.37,13.346,11.185,25.667,A3,select word,rare
19.16,28.123,25.667,3.494,0.21,25.667,A3,select word,rare
60.284,11.296,18.272,3.494,11.185,25.667,A3,select word,rare
60.284,40.864,25.667,13.346,0.21,25.667,A3,select word,rare
20.568,70.21,33.469,55.481,0.21,25.938,A3,select word,rare
36.975,18.272,25.667,13.346,11.185,25.667,A3,select word,rare
17.407,18.272,18.272,37.988,11.185,25.938,A3,select word,rare
78.728,47.84,33.469,37.988,11.296,25.938,A3,select word,rare
60.284,28.123,25.667,37.988,11.296,25.938,A3,select word,rare
36.975,40.864,33.062,3.494,11.185,25.667,A3,select word,rare
36.975,47.84,3.37,3.494,11.296,25.938,A3,select word,rare
20.568,40.864,18.272,37.988,0.21,25.938,A3,select word,rare
78.728,28.123,3.37,13.346,0.21,25.938,A3,select word,rare
36.975,70.21,33.469,3.494,11.296,25.667,A3,select word,rare
56.531,70.21,33.469,37.988,11.296,25.667,A3,select word,rare
95.667,28.123,33.062,37.988,11.296,25.667,A3,select word,rare
41.296,8.42,25.667,55.481,0.21,25.938,A3,select word,rare
2.16,40.864,33.062,3.494,0.21,25.938,A3,select word,rare
19.16,18.272,33.062,3.494,11.185,25.938,A3,select word,rare
60.284,18.272,33.469,55.481,11.296,25.938,A3,select word,rare
40.42,18.272,18.272,13.346,11.185,25.938,A3,select word,rare
78.728,8.42,3.37,3.494,11.185,25.667,A3,select word,rare
95.667,8.42,3.37,37.988,0.21,25.667,A3,select word,rare
60.284,18.272,33.062,37.988,0.21,25.667,A3,select word,rare
19.16,28.123,33.062,13.346,11.185,25.667,A3,select word,rare
40.42,47.84,25.667,13.346,11.296,25.667,A3,select word,rare
40.42,18.272,25.667,13.346,0.21,25.667,A3,select word,rare
41.296,47.84,33.062,37.988,11.296,25.667,A3,select word,rare
36.975,8.42,33.469,37.988,11.185,25.667,A3,select word,rare
2.16,11.296,33.469,13.346,0.21,25.667,A3,select word,rare
95.667,8.42,33.062,55.481,0.21,25.938,A3,select word,rare
26.405,61.257,29.919,29.568,10.784,,A2,select word,rare
11.689,18.662,23.986,29.568,10.784,,A2,select word,rare
26.405,2.392,45.77,29.568,10.784,,A2,select word,rare
47.176,61.257,29.919,29.568,10.514,,A2,select word,rare
11.689,3.243,45.77,19.014,10.514,,A2,select word,rare
34.595,61.257,29.919,19.014,10.514,,A2,select word,rare
26.405,18.662,29.919,19.014,10.784,,A2,select word,rare
10.27,11.311,45.77,19.014,10.514,,A2,select word,rare
47.176,3.243,50.946,19.014,10.514,,A2,select word,rare
34.595,18.662,50.946,10.919,10.784,,A2,select word,rare
10.27,18.662,29.919,19.014,10.514,,A2,select word,rare
34.595,26.797,45.77,19.014,10.784,,A2,select word,rare
26.405,18.662,45.77,29.568,10.784,,A2,select word,rare
26.405,11.311,23.986,19.014,10.784,,A2,select word,rare
47.176,2.392,29.919,29.568,10.514,,A2,select word,rare
34.595,11.311,23.986,10.919,10.784,,A2,select word,rare
26.405,26.797,45.77,10.919,10.784,,A2,select word,rare
11.689,26.797,23.986,10.919,10.514,,A2,select word,rare
41.122,2.392,23.986,29.568,10.514,,A2,select word,rare
34.595,11.311,45.77,29.568,10.514,,A2,select word,rare
34.595,18.662,23.986,10.919,10.784,,A2,select word,rare
26.405,11.311,45.77,29.568,10.514,,A2,select word,rare
26.405,18.662,45.77,19.014,10.514,,A2,select word,rare
55.135,61.257,45.77,29.568,10.514,,A2,select word,rare
11.689,61.257,45.77,10.919,10.784,,A2,select word,rare
19.649,3.243,29.919,29.568,10.514,,A2,select word,rare
55.135,3.243,23.986,29.568,10.784,,A2,select word,rare
10.27,26.797,45.77,29.568,10.784,,A2,select word,rare
19.649,2.392,45.77,10.919,10.784,,A2,select word,rare
47.176,61.257,50.946,29.568,10.514,,A2,select word,rare
19.649,3.243,50.946,19.014,10.784,,A2,select word,rare
11.689,2.392,23.986,19.014,10.784,,A2,select word,rare
34.595,26.797,29.919,29.568,10.784,,A2,select word,rare
11.689,2.392,23.986,29.568,10.784,,A2,select word,rare
47.176,2.392,50.946,19.014,10.514,,A2,select word,rare
41.122,61.257,45.77,29.568,10.514,,A2,select word,rare
34.595,3.243,50.946,10.919,10.784,,A2,select word,rare
47.176,61.257,29.919,29.568,10.514,,A2,select word,rare
55.135,11.311,23.986,29.568,10.784,,A2,select word,rare
41.122,3.243,45.77,19.014,10.784,,A2,select word,rare
55.851,26.797,50.946,10.919,10.514,,A2,select word,rare
55.851,26.797,50.946,19.014,10.514,,A2,select word,rare
64.514,18.662,29.919,10.919,10.514,,A2,select word,rare
64.514,11.311,45.77,10.919,10.784,,A2,select word,rare
55.135,11.311,29.919,10.919,10.514,,A2,select word,rare
47.176,18.662,23.986,10.919,10.784,,A2,select word,rare
10.27,2.392,23.986,19.014,10.514,,A2,select word,rare
41.122,11.311,45.77,29.568,10.514,,A2,select word,rare
55.851,61.257,29.919,19.014,10.784,,A2,select word,rare
47.176,2.392,50.946,29.568,10.784,,A2,select word,rare
34.595,26.797,45.77,19.014,10.514,,A2,select word,rare
55.851,18.662,50.946,29.568,10.784,,A2,select word,rare
34.595,3.243,45.77,29.568,10.784,,A2,select word,rare
10.27,11.311,50.946,29.568,10.784,,A2,select word,rare
55.135,26.797,29.919,29.568,10.514,,A2,select word,rare
19.649,18.662,50.946,19.014,10.784,,A2,select word,rare
34.595,61.257,45.77,29.568,10.784,,A2,select word,rare
26.405,2.392,29.919,19.014,10.784,,A2,select word,rare
26.405,3.243,23.986,19.014,10.784,,A2,select word,rare
34.595,18.662,23.986,19.014,10.784,,A2,select word,rare
11.689,2.392,50.946,29.568,10.514,,A2,select word,rare
26.405,26.797,45.77,10.919,10.514,,A2,select word,rare
10.27,18.662,29.919,19.014,10.514,,A2,select word,rare
41.122,18.662,50.946,29.568,10.514,,A2,select word,rare
11.689,2.392,23.986,29.568,10.784,,A2,select word,rare
11.689,11.311,23.986,10.919,10.784,,A2,select word,rare
34.595,26.797,45.77,10.919,10.784,,A2,select word,rare
47.176,61.257,45.77,29.568,10.784,,A2,select word,rare
34.595,26.797,29.919,10.919,10.784,,A2,select word,rare
55.135,26.797,29.919,19.014,10.784,,A2,select word,rare
55.135,11.311,23.986,19.014,10.784,,A2,select word,rare
64.514,61.257,50.946,10.919,10.784,,A2,select word,rare
34.595,3.243,45.77,19.014,10.784,,A2,select word,rare
