0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Feature,Frequency Density Group
0.0,75.0,0.0,37.5,25.0,25.0,B1,select word,rare
50.0,25.0,83.325,37.5,8.325,12.5,B1,select word,rare
250.0,25.0,50.0,25.0,33.325,50.0,B1,select word,rare
50.0,25.0,33.325,75.0,16.675,50.0,B1,select word,rare
100.0,25.0,100.0,12.5,0.0,31.25,B1,select word,rare
24.333,14.877,7.185,8.765,19.802,8.765,A3,select word,rare
13.494,52.716,32.407,27.679,19.802,30.049,A3,select word,rare
62.173,60.79,7.185,10.148,2.272,7.79,A3,select word,rare
13.494,32.407,11.728,43.247,10.346,11.136,A3,select word,rare
62.173,32.407,13.494,43.247,13.494,20.593,A3,select word,rare
32.407,22.951,11.728,24.333,18.037,25.321,A3,select word,rare
43.247,13.494,19.802,13.494,0.889,17.247,A3,select word,rare
13.494,24.333,36.951,10.148,29.259,6.407,A3,select word,rare
126.988,14.877,5.42,22.951,18.037,43.247,A3,select word,rare
89.16,32.407,24.333,18.222,60.79,21.975,A3,select word,rare
51.333,43.247,18.037,38.519,5.42,34.778,A3,select word,rare
70.247,60.79,32.407,24.333,19.802,7.79,A3,select word,rare
32.407,24.333,5.42,46.593,13.494,24.333,A3,select word,rare
43.247,32.407,36.951,41.864,8.568,12.519,A3,select word,rare
24.333,79.704,26.111,29.062,35.568,14.877,A3,select word,rare
43.247,52.716,7.185,22.951,14.877,21.975,A3,select word,rare
70.247,60.79,51.333,19.605,16.654,6.407,A3,select word,rare
5.42,14.877,32.407,5.42,16.654,22.951,A3,select word,rare
5.42,24.333,32.407,70.247,32.407,27.679,A3,select word,rare
32.407,79.704,5.42,10.148,10.346,20.593,A3,select word,rare
100.0,33.79,18.037,24.333,26.111,3.062,A3,select word,rare
89.16,5.42,7.185,52.716,18.037,8.765,A3,select word,rare
70.247,70.247,13.494,43.247,19.802,17.247,A3,select word,rare
13.494,43.247,43.247,19.605,29.259,20.593,A3,select word,rare
24.333,51.333,24.333,47.975,30.642,7.79,A3,select word,rare
126.988,5.42,36.951,18.222,16.654,6.407,A3,select word,rare
89.16,5.42,5.42,27.679,0.889,11.136,A3,select word,rare
32.407,33.79,13.494,46.593,19.802,18.222,A3,select word,rare
24.333,24.333,5.42,18.222,29.259,1.679,A3,select word,rare
81.086,24.333,18.037,5.42,22.951,33.79,A3,select word,rare
32.407,32.407,30.642,33.79,16.654,18.222,A3,select word,rare
32.407,13.494,11.728,10.148,4.037,3.062,A3,select word,rare
43.247,4.037,18.037,24.333,26.111,4.037,A3,select word,rare
81.086,60.79,55.864,14.877,4.037,5.42,A3,select word,rare
70.247,43.247,7.185,5.42,14.877,10.148,A3,select word,rare
89.16,60.79,32.407,19.605,16.654,25.321,A3,select word,rare
70.247,43.247,18.037,32.407,24.333,14.877,A3,select word,rare
51.333,24.333,18.037,5.42,14.877,11.136,A3,select word,rare
51.333,32.407,26.111,14.877,8.568,0.691,A3,select word,rare
24.333,4.037,13.494,32.407,11.728,18.222,A3,select word,rare
32.407,51.333,19.802,32.407,35.568,43.247,A3,select word,rare
13.494,13.494,5.42,43.247,21.185,18.222,A3,select word,rare
24.333,51.333,30.642,24.333,13.494,15.864,A3,select word,rare
100.0,14.877,18.037,0.691,16.654,14.877,A3,select word,rare
62.173,4.037,36.951,18.222,8.568,7.79,A3,select word,rare
13.494,22.951,36.951,24.333,4.037,13.494,A3,select word,rare
43.247,32.407,11.728,8.765,24.333,20.593,A3,select word,rare
126.988,41.864,24.333,0.691,26.111,21.975,A3,select word,rare
100.0,41.864,49.556,14.877,14.877,29.062,A3,select word,rare
126.988,4.037,7.185,37.136,22.951,0.691,A3,select word,rare
24.333,43.247,49.556,18.222,8.568,26.704,A3,select word,rare
5.42,108.074,32.407,33.79,0.889,1.679,A3,select word,rare
43.247,41.864,32.407,32.407,7.185,20.593,A3,select word,rare
51.333,4.037,70.247,0.691,29.259,17.247,A3,select word,rare
13.494,13.494,0.889,8.765,14.877,7.79,A3,select word,rare
24.333,89.16,126.988,10.148,0.889,4.037,A3,select word,rare
81.086,70.247,19.802,13.494,7.185,11.136,A3,select word,rare
5.42,14.877,51.333,60.79,7.185,21.975,A3,select word,rare
62.173,5.42,30.642,10.148,18.037,27.679,A3,select word,rare
13.494,33.79,13.494,37.136,29.259,25.321,A3,select word,rare
81.086,13.494,19.802,29.062,2.272,20.593,A3,select word,rare
164.827,90.543,74.778,29.062,29.259,19.605,A3,select word,rare
5.42,24.333,30.642,22.951,14.877,27.679,A3,select word,rare
81.086,33.79,5.42,18.222,5.42,12.519,A3,select word,rare
81.086,4.037,19.802,47.975,0.889,8.765,A3,select word,rare
32.407,4.037,38.716,13.494,4.037,1.679,A3,select word,rare
43.247,13.494,0.889,18.222,27.494,6.407,A3,select word,rare
13.494,5.42,18.037,0.691,21.185,11.136,A3,select word,rare
5.42,24.333,0.889,0.691,38.716,27.679,A3,select word,rare
