0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Sampling Interval
15.7,10.778,0.053,3.124,0.473,2.124,B2,30 seconds
6.32,14.907,1.02,1.109,2.448,1.57,B2,30 seconds
3.617,7.955,3.648,3.171,4.065,0.704,B2,30 seconds
4.687,0.071,8.018,6.11,3.345,0.153,B2,30 seconds
20.645,6.346,4.687,0.815,2.985,1.832,B2,30 seconds
1.83,4.93,3.958,1.275,,,A1,30 seconds
1.802,1.372,3.398,4.228,,,A1,30 seconds
1.187,10.865,1.918,4.897,,,A1,30 seconds
4.705,10.48,5.476,0.362,,,A1,30 seconds
17.753,2.496,0.248,3.31,,,A1,30 seconds
18.066,0.165,1.915,6.384,,,A1,30 seconds
13.199,2.482,0.589,1.581,,,A1,30 seconds
8.747,1.927,1.337,4.612,,,A1,30 seconds
5.144,10.808,5.257,2.25,,,A1,30 seconds
3.834,11.192,6.434,0.155,,,A1,30 seconds
1.432,0.635,5.011,5.096,,,A1,30 seconds
12.02,2.781,3.948,2.221,,,A1,30 seconds
1.927,6.78,6.956,5.964,,,A1,30 seconds
5.371,8.303,1.507,2.293,,,A1,30 seconds
1.842,8.63,1.775,6.526,,,A1,30 seconds
4.278,4.133,5.267,8.583,,,A1,30 seconds
6.624,0.006,3.701,3.282,,,A1,30 seconds
3.863,10.082,4.973,2.143,,,A1,30 seconds
7.153,4.816,6.832,2.684,,,A1,30 seconds
6.071,0.407,0.748,4.74,,,A1,30 seconds
3.196,6.268,1.479,2.62,,,A1,30 seconds
2.684,11.548,5.305,3.666,,,A1,30 seconds
7.437,1.702,4.223,7.01,,,A1,30 seconds
1.915,0.236,0.94,7.615,,,A1,30 seconds
1.273,5.058,6.358,5.189,,,A1,30 seconds
1.46,8.616,2.904,4.691,,,A1,30 seconds
3.948,5.9,5.238,8.291,,,A1,30 seconds
0.646,0.079,6.32,0.955,,,A1,30 seconds
5.673,1.742,0.094,4.335,,,A1,30 seconds
19.404,6.937,1.109,8.384,,,A1,30 seconds
0.492,3.336,4.641,1.737,,,A1,30 seconds
4.506,5.272,3.54,1.958,,,A1,30 seconds
5.286,4.816,8.455,0.803,,,A1,30 seconds
2.269,10.537,3.293,4.705,,,A1,30 seconds
0.151,0.791,0.02,3.936,,,A1,30 seconds
1.586,3.151,5.523,8.832,,,A1,30 seconds
6.47,0.661,1.548,5.167,,,A1,30 seconds
5.542,5.658,2.94,3.865,,,A1,30 seconds
2.553,0.25,0.625,8.007,,,A1,30 seconds
5.957,5.642,4.555,2.485,,,A1,30 seconds
5.2,4.588,8.417,3.054,,,A1,30 seconds
6.384,1.557,5.523,4.235,,,A1,30 seconds
3.623,8.858,5.656,3.025,,,A1,30 seconds
3.236,1.602,3.844,1.382,,,A1,30 seconds
