0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Feature,Frequency Density Group
22.122,18.581,36.676,25.514,9.541,,A2,select word,rare
35.703,45.716,8.554,28.757,10.824,,A2,select word,rare
8.554,89.973,26.649,11.797,1.77,,A2,select word,rare
59.297,15.338,27.635,22.122,17.608,,A2,select word,rare
59.297,8.554,22.122,8.405,4.041,,A2,select word,rare
103.541,11.797,9.541,42.486,18.581,,A2,select word,rare
49.27,25.365,32.149,8.405,1.77,,A2,select word,rare
18.581,28.905,9.541,5.162,10.824,,A2,select word,rare
59.297,28.905,31.176,28.905,11.797,,A2,select word,rare
89.973,22.122,22.122,45.878,5.014,,A2,select word,rare
32.149,15.338,5.014,5.014,11.797,,A2,select word,rare
5.014,15.338,35.703,45.878,16.324,,A2,select word,rare
59.297,38.932,0.486,35.703,0.486,,A2,select word,rare
86.432,49.27,5.014,28.757,11.797,,A2,select word,rare
45.716,1.77,36.676,8.554,13.081,,A2,select word,rare
89.973,5.014,50.243,11.946,6.297,,A2,select word,rare
5.014,11.797,13.081,11.946,2.757,,A2,select word,rare
8.554,25.365,13.081,5.014,6.297,,A2,select word,rare
45.716,8.554,31.176,18.581,19.865,,A2,select word,rare
171.392,25.365,36.676,8.554,9.541,,A2,select word,rare
35.703,8.554,8.554,42.486,14.054,,A2,select word,rare
5.014,59.297,31.176,25.365,4.041,,A2,select word,rare
18.581,28.905,53.784,25.514,9.541,,A2,select word,rare
49.27,25.365,26.649,22.122,0.486,,A2,select word,rare
8.554,28.905,41.203,8.554,15.338,,A2,select word,rare
76.405,35.703,26.649,39.095,15.338,,A2,select word,rare
62.838,25.365,5.014,21.973,7.27,,A2,select word,rare
18.581,18.581,27.635,11.946,10.824,,A2,select word,rare
62.838,11.797,40.216,11.797,16.324,,A2,select word,rare
49.27,15.338,36.676,1.622,4.041,,A2,select word,rare
18.581,49.27,44.743,22.122,5.014,,A2,select word,rare
45.716,32.149,36.676,1.622,4.041,,A2,select word,rare
72.865,18.581,4.041,15.338,2.757,,A2,select word,rare
5.014,1.77,13.081,11.797,13.081,,A2,select word,rare
35.703,25.365,50.243,25.365,18.581,,A2,select word,rare
5.014,35.703,31.176,1.77,9.541,,A2,select word,rare
5.014,11.797,4.041,5.014,6.297,,A2,select word,rare
8.554,59.297,44.743,1.77,4.041,,A2,select word,rare
32.149,18.581,5.014,15.189,6.297,,A2,select word,rare
72.865,49.27,27.635,8.405,14.054,,A2,select word,rare
76.405,45.716,26.649,8.554,7.27,,A2,select word,rare
32.149,25.365,18.581,8.405,1.77,,A2,select word,rare
8.554,22.122,9.541,21.973,10.824,,A2,select word,rare
8.554,59.297,27.635,1.622,0.486,,A2,select word,rare
89.973,5.014,18.581,11.946,0.486,,A2,select word,rare
18.581,72.865,18.581,25.365,7.27,,A2,select word,rare
62.838,11.797,18.581,38.932,2.757,,A2,select word,rare
18.581,15.338,50.243,5.014,6.297,,A2,select word,rare
76.405,15.338,18.581,5.162,14.054,,A2,select word,rare
72.865,32.149,9.541,8.554,6.297,,A2,select word,rare
5.014,5.014,17.608,11.946,11.797,,A2,select word,rare
32.149,42.486,14.054,35.541,25.365,,A2,select word,rare
32.149,1.77,26.649,18.73,10.824,,A2,select word,rare
89.973,42.486,22.122,5.014,0.486,,A2,select word,rare
18.581,1.77,17.608,18.581,8.554,,A2,select word,rare
18.581,1.77,27.635,5.162,7.27,,A2,select word,rare
45.716,42.486,45.716,11.797,20.838,,A2,select word,rare
8.554,11.797,22.122,1.77,5.014,,A2,select word,rare
59.297,35.703,26.649,25.365,6.297,,A2,select word,rare
45.716,76.405,32.149,18.581,1.77,,A2,select word,rare
59.297,32.149,36.676,21.973,11.797,,A2,select word,rare
45.716,62.838,26.649,8.554,19.865,,A2,select word,rare
59.297,42.486,23.108,38.932,22.122,,A2,select word,rare
103.541,8.554,35.703,11.946,2.757,,A2,select word,rare
45.716,56.054,13.081,1.77,0.486,,A2,select word,rare
5.014,18.581,22.122,21.973,2.757,,A2,select word,rare
32.149,45.716,8.554,11.797,8.554,,A2,select word,rare
49.27,15.338,5.014,15.189,9.541,,A2,select word,rare
18.581,5.014,17.608,25.365,14.054,,A2,select word,rare
100.0,28.905,13.081,1.622,16.324,,A2,select word,rare
76.405,22.122,13.081,15.189,11.797,,A2,select word,rare
18.581,52.5,27.635,11.797,8.554,,A2,select word,rare
72.865,5.014,8.554,1.77,4.041,,A2,select word,rare
18.581,56.054,14.054,59.446,0.486,,A2,select word,rare
59.297,32.149,44.743,5.162,8.554,,A2,select word,rare
32.149,35.703,35.703,5.162,18.581,,A2,select word,rare
35.703,42.486,9.541,11.797,25.365,,A2,select word,rare
45.716,35.703,5.014,5.014,11.797,,A2,select word,rare
45.716,11.797,41.203,15.189,13.081,,A2,select word,rare
15.638,21.255,5.447,15.979,,,A1,select word,rare
36.745,26.191,1.596,8.085,,,A1,select word,rare
47.277,26.532,5.106,0.17,,,A1,select word,rare
78.915,42.34,5.106,2.468,,,A1,select word,rare
110.872,42.34,5.106,5.106,,,A1,select word,rare
100.34,20.915,8.617,2.468,,,A1,select word,rare
47.277,31.809,8.617,8.085,,,A1,select word,rare
36.745,26.191,8.957,0.17,,,A1,select word,rare
57.83,58.17,15.979,13.021,,,A1,select word,rare
100.34,10.723,5.106,5.106,,,A1,select word,rare
26.191,10.723,29.702,10.383,,,A1,select word,rare
47.617,5.106,8.957,5.106,,,A1,select word,rare
26.532,5.106,5.447,8.085,,,A1,select word,rare
68.702,15.979,5.447,2.468,,,A1,select word,rare
36.745,15.638,12.128,2.468,,,A1,select word,rare
79.255,0.17,19.511,2.809,,,A1,select word,rare
5.447,0.17,5.106,15.638,,,A1,select word,rare
36.745,42.34,5.447,2.809,,,A1,select word,rare
26.191,15.638,8.957,5.106,,,A1,select word,rare
68.702,15.979,8.617,15.638,,,A1,select word,rare
121.426,10.383,12.468,8.085,,,A1,select word,rare
15.638,26.532,15.979,18.277,,,A1,select word,rare
58.17,26.191,5.106,20.915,,,A1,select word,rare
26.191,0.17,22.681,15.638,,,A1,select word,rare
5.106,5.447,5.447,13.021,,,A1,select word,rare
15.979,31.809,12.468,0.17,,,A1,select word,rare
5.447,36.745,8.957,10.383,,,A1,select word,rare
79.255,36.745,15.979,5.447,,,A1,select word,rare
78.915,15.979,8.957,13.021,,,A1,select word,rare
79.255,0.17,12.128,5.106,,,A1,select word,rare
37.064,5.447,15.979,18.617,,,A1,select word,rare
36.745,0.17,15.979,7.745,,,A1,select word,rare
100.34,31.809,19.511,18.617,,,A1,select word,rare
15.979,31.809,23.021,0.17,,,A1,select word,rare
36.745,31.468,1.936,18.277,,,A1,select word,rare
68.702,15.638,30.043,20.915,,,A1,select word,rare
47.277,21.255,5.447,23.553,,,A1,select word,rare
15.638,15.979,5.106,2.468,,,A1,select word,rare
15.638,26.191,15.979,8.085,,,A1,select word,rare
37.064,10.723,8.617,5.106,,,A1,select word,rare
26.191,5.106,5.106,8.085,,,A1,select word,rare
5.106,5.447,1.936,10.723,,,A1,select word,rare
57.83,31.809,8.617,8.085,,,A1,select word,rare
26.532,47.277,26.532,8.085,,,A1,select word,rare
15.979,5.106,12.468,10.383,,,A1,select word,rare
78.915,26.532,22.681,5.106,,,A1,select word,rare
68.702,10.383,40.596,2.468,,,A1,select word,rare
5.447,5.106,12.128,8.085,,,A1,select word,rare
5.447,0.17,12.128,2.809,,,A1,select word,rare
68.702,47.617,1.936,10.723,,,A1,select word,rare
5.447,31.468,5.447,7.745,,,A1,select word,rare
57.83,0.17,23.021,5.447,,,A1,select word,rare
5.447,10.383,5.447,5.106,,,A1,select word,rare
5.106,10.723,23.021,5.447,,,A1,select word,rare
79.255,21.255,1.936,5.106,,,A1,select word,rare
5.106,5.447,23.021,28.83,,,A1,select word,rare
15.638,10.723,19.511,13.34,,,A1,select word,rare
26.532,31.468,5.447,5.447,,,A1,select word,rare
26.532,10.723,5.447,2.809,,,A1,select word,rare
15.638,15.979,15.979,8.085,,,A1,select word,rare
5.106,31.468,15.638,0.17,,,A1,select word,rare
15.638,15.979,30.043,8.085,,,A1,select word,rare
26.191,15.979,30.043,13.34,,,A1,select word,rare
79.255,10.723,12.128,7.745,,,A1,select word,rare
47.277,15.638,1.936,8.085,,,A1,select word,rare
26.191,63.085,1.596,8.085,,,A1,select word,rare
26.191,52.894,8.957,7.745,,,A1,select word,rare
26.191,20.915,30.043,2.809,,,A1,select word,rare
5.106,15.638,12.128,7.745,,,A1,select word,rare
47.617,5.106,19.511,10.723,,,A1,select word,rare
47.277,26.532,30.043,18.277,,,A1,select word,rare
57.83,15.638,47.617,13.021,,,A1,select word,rare
89.787,31.468,12.468,5.447,,,A1,select word,rare
47.277,5.106,5.447,8.085,,,A1,select word,rare
47.617,5.447,1.596,10.723,,,A1,select word,rare
5.447,5.106,12.468,26.191,,,A1,select word,rare
36.745,10.383,5.106,2.468,,,A1,select word,rare
36.745,0.17,5.106,2.809,,,A1,select word,rare
15.979,0.17,12.468,5.447,,,A1,select word,rare
15.979,10.723,5.106,5.447,,,A1,select word,rare
26.191,15.638,1.936,15.638,,,A1,select word,rare
15.979,10.383,8.957,2.468,,,A1,select word,rare
5.106,52.894,1.596,7.745,,,A1,select word,rare
58.17,26.191,5.106,13.021,,,A1,select word,rare
15.638,42.34,15.979,5.447,,,A1,select word,rare
15.638,21.255,8.957,13.34,,,A1,select word,rare
15.979,10.723,12.468,10.383,,,A1,select word,rare
26.532,31.468,1.936,10.383,,,A1,select word,rare
57.83,26.191,5.447,7.745,,,A1,select word,rare
47.277,21.255,1.596,10.723,,,A1,select word,rare
5.447,31.468,5.447,8.085,,,A1,select word,rare
121.426,21.255,15.638,5.447,,,A1,select word,rare
79.255,47.277,5.447,8.085,,,A1,select word,rare
15.979,42.34,12.468,18.617,,,A1,select word,rare
15.638,21.255,15.638,2.809,,,A1,select word,rare
5.447,63.426,8.957,7.745,,,A1,select word,rare
26.532,37.064,12.468,18.277,,,A1,select word,rare
37.064,20.915,15.979,0.17,,,A1,select word,rare
26.191,15.979,15.638,8.085,,,A1,select word,rare
26.532,26.532,19.511,5.106,,,A1,select word,rare
105.676,17.735,45.147,38.294,30.265,2.294,B2,select word,rare
187.941,17.735,4.029,28.029,43.971,2.294,B2,select word,rare
100.0,2.824,23.412,64.529,2.824,28.029,B2,select word,rare
58.853,43.971,4.029,2.824,4.029,7.971,B2,select word,rare
105.676,23.412,23.412,7.441,72.588,7.971,B2,select word,rare
100.0,2.824,17.735,64.529,43.971,2.294,B2,select word,rare
58.853,17.735,45.147,13.118,16.559,2.294,B2,select word,rare
17.735,105.676,4.029,48.588,2.824,33.147,B2,select word,rare
100.0,23.412,31.441,13.118,45.147,7.441,B2,select word,rare
58.853,17.735,23.412,79.441,31.441,2.294,B2,select word,rare
58.853,100.0,9.676,17.735,30.265,2.294,B2,select word,rare
146.794,2.824,64.529,2.824,23.412,7.971,B2,select word,rare
64.529,23.412,64.529,38.294,4.029,12.588,B2,select word,rare
23.412,2.824,64.529,17.735,9.676,7.441,B2,select word,rare
105.676,2.824,91.971,64.529,10.882,13.118,B2,select word,rare
100.0,43.971,31.441,2.824,30.265,12.588,B2,select word,rare
64.529,2.824,23.412,23.412,24.588,33.147,B2,select word,rare
17.735,43.971,31.441,33.676,31.441,18.265,B2,select word,rare
58.853,17.735,37.118,23.412,24.588,17.735,B2,select word,rare
58.853,38.294,50.824,2.824,2.824,18.265,B2,select word,rare
23.412,17.735,78.235,28.029,17.735,28.529,B2,select word,rare
58.853,2.824,9.676,43.971,9.676,23.412,B2,select word,rare
100.0,23.412,58.853,17.735,16.559,13.118,B2,select word,rare
23.412,79.441,58.853,28.029,4.029,2.294,B2,select word,rare
23.412,58.853,64.529,2.824,23.412,13.118,B2,select word,rare
100.0,38.294,9.676,85.088,31.441,33.676,B2,select word,rare
100.0,17.735,23.412,48.588,17.735,2.294,B2,select word,rare
58.853,64.529,58.853,7.441,2.824,12.588,B2,select word,rare
100.0,64.529,37.118,64.529,9.676,2.294,B2,select word,rare
100.0,43.971,58.853,43.971,24.588,2.824,B2,select word,rare
58.853,2.824,72.588,2.824,64.529,2.294,B2,select word,rare
58.853,64.529,23.412,105.676,16.559,2.294,B2,select word,rare
23.412,38.294,31.441,17.735,30.265,18.265,B2,select word,rare
64.529,23.412,4.029,28.029,17.735,18.265,B2,select word,rare
100.0,23.412,50.824,48.588,4.029,12.588,B2,select word,rare
17.735,17.735,45.147,7.441,4.029,7.441,B2,select word,rare
58.853,146.794,17.735,7.441,23.412,7.441,B2,select word,rare
58.853,2.824,17.735,7.441,10.882,12.588,B2,select word,rare
187.941,105.676,50.824,38.294,2.824,7.441,B2,select word,rare
100.0,105.676,17.735,54.265,4.029,12.588,B2,select word,rare
64.529,58.853,58.853,17.735,16.559,33.676,B2,select word,rare
105.676,43.971,9.676,7.441,16.559,18.265,B2,select word,rare
187.941,17.735,50.824,43.971,4.029,17.735,B2,select word,rare
58.853,2.824,17.735,43.971,4.029,2.824,B2,select word,rare
23.412,2.824,9.676,38.294,4.029,23.412,B2,select word,rare
64.529,2.824,4.029,2.824,4.029,13.118,B2,select word,rare
64.529,58.853,17.735,7.441,23.412,7.971,B2,select word,rare
187.941,23.412,58.853,54.265,2.824,38.294,B2,select word,rare
