30,40,50,60,70,80,90,100,110,120,Transcript,Sampling Interval Size
7.654,8.103,10.352,11.69,10.092,7.457,13.274,1.034,6.773,0.659,A1,30 seconds
6.435,3.502,1.979,5.215,5.835,2.686,2.345,9.965,3.715,0.982,A1,30 seconds
8.802,1.206,11.385,9.52,3.329,6.381,4.593,4.82,3.324,1.924,A1,30 seconds
3.574,18.515,3.507,17.914,1.3,10.174,6.3,0.322,1.973,10.13,A1,30 seconds
3.502,1.511,4.047,3.233,6.681,4.968,10.859,13.387,1.533,5.69,A1,30 seconds
0.202,1.35,8.135,3.439,14.352,13.322,0.19,8.06,0.34,2.677,A1,30 seconds
7.367,9.744,1.786,1.52,5.265,5.278,6.734,0.677,1.289,6.39,A1,30 seconds
2.847,5.52,8.244,1.789,6.389,3.897,0.453,6.704,8.421,6.022,A1,30 seconds
5.0,9.502,18.122,17.878,0.408,7.753,2.294,7.265,2.287,1.161,A1,30 seconds
1.96,21.474,4.67,6.453,1.544,1.596,9.675,8.716,0.609,3.35,A1,30 seconds
12.677,1.081,2.948,5.027,5.265,8.843,5.188,1.796,8.352,7.735,A1,30 seconds
5.681,5.054,6.069,4.39,3.866,0.211,5.0,4.939,10.71,0.794,A1,30 seconds
10.991,0.247,0.042,10.058,4.897,1.327,2.223,3.335,0.565,0.596,A1,30 seconds
1.852,0.211,1.056,5.753,2.299,5.928,4.533,9.62,5.603,7.556,A1,30 seconds
6.157,5.574,4.844,2.632,0.945,9.623,4.641,6.049,5.505,4.39,A1,30 seconds
15.941,5.681,9.213,9.807,12.369,7.349,5.311,0.128,7.266,8.829,A1,30 seconds
5.681,1.484,2.69,0.184,3.529,7.583,11.23,0.388,8.499,9.753,A1,30 seconds
4.722,12.65,6.264,1.17,5.034,18.354,1.137,14.119,5.222,4.435,A1,30 seconds
0.166,1.942,3.96,10.65,8.433,17.304,18.655,3.152,3.519,14.129,A1,30 seconds
19.421,2.444,15.604,1.511,11.554,1.229,0.719,10.46,2.326,0.058,A1,30 seconds
6.112,2.641,0.022,1.009,1.867,5.471,5.825,12.924,11.424,5.825,A1,30 seconds
8.157,5.672,16.056,2.955,0.361,5.471,13.406,5.866,8.998,13.941,A1,30 seconds
14.865,3.655,1.334,7.672,2.467,0.507,7.296,1.57,2.981,2.471,A1,30 seconds
7.941,0.005,5.21,4.372,3.175,12.3,11.469,1.518,2.394,0.202,A1,30 seconds
9.843,2.282,7.403,5.098,2.622,3.103,0.812,3.228,2.463,1.61,A1,30 seconds
41.734,3.116,10.244,3.421,5.02,0.61,2.01,6.198,0.551,0.381,A1,30 seconds
3.888,12.892,3.229,5.448,0.777,15.138,3.039,5.434,0.007,0.175,A1,30 seconds
15.726,1.619,0.387,4.031,3.329,6.65,11.373,5.563,0.809,3.421,A1,30 seconds
9.914,5.654,1.464,1.0,2.467,2.202,6.961,2.7,3.353,8.39,A1,30 seconds
6.04,6.166,0.776,1.099,1.377,0.274,10.728,6.673,3.705,16.138,A1,30 seconds
2.668,4.677,2.648,7.798,6.865,0.291,6.698,3.421,2.874,0.345,A1,30 seconds
5.726,11.923,1.077,3.421,3.066,1.273,6.937,2.83,4.498,2.453,A1,30 seconds
9.161,3.045,10.417,4.865,2.622,4.107,3.29,16.336,13.097,9.421,A1,30 seconds
0.704,22.604,0.108,1.17,5.343,9.264,0.827,7.457,2.971,2.758,A1,30 seconds
