# percent error estimates for questions; 30 - 180 minute tts, 30 second sampling intervals 
30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,130.0,140.0,150.0,160.0,170.0,180.0,Transcript
0.202,16.091,3.463,4.21,15.509,15.582,8.171,0.815,7.389,9.133,11.077,5.762,1.427,1.325,1.475,8.623,A1
5.228,4.889,1.425,12.697,12.89,5.653,9.754,7.945,8.5,9.811,1.051,9.253,1.698,7.308,6.027,6.586,A1
20.843,3.362,7.942,8.623,7.653,4.889,6.134,8.555,9.425,14.903,10.137,4.13,9.166,2.089,7.945,12.923,A1
15.138,1.325,2.239,1.155,4.743,17.109,0.655,2.852,12.202,7.945,4.184,12.745,1.561,2.089,1.235,0.768,A1
7.945,2.749,0.612,19.485,11.726,10.745,15.186,9.777,6.834,0.646,4.967,12.017,5.908,5.908,10.34,4.437,A1
1.155,1.834,1.427,8.284,12.89,16.091,9.754,3.868,4.611,7.774,4.027,1.658,0.612,6.035,8.663,14.28,A1
7.671,4.379,11.201,17.449,8.526,10.745,0.429,3.463,10.722,2.003,0.046,9.835,16.77,7.18,8.663,7.604,A1
17.449,2.343,6.315,0.542,7.945,4.635,8.623,0.407,4.055,4.379,6.221,2.562,3.871,9.98,3.078,6.247,A1
14.054,5.398,6.315,6.926,5.035,28.311,11.112,0.202,3.5,3.022,2.148,5.471,2.377,0.561,7.704,4.21,A1
9.708,13.036,9.166,13.715,1.948,9.472,6.134,7.127,1.649,14.224,13.271,0.93,1.967,1.221,16.69,12.923,A1
31.705,0.202,9.574,11.338,9.69,0.458,0.476,7.129,13.128,3.088,11.391,9.108,9.166,0.458,7.105,4.097,A1
3.597,10.386,2.649,5.634,8.526,4.379,13.375,0.409,10.166,6.586,7.63,15.073,7.401,0.712,2.792,13.149,A1
1.561,1.73,12.833,15.412,4.567,11.253,2.739,12.221,3.905,11.338,12.958,1.543,18.399,9.217,9.98,1.721,A1
0.202,19.655,17.721,3.258,3.871,11.253,5.454,0.204,1.834,11.338,10.137,6.635,1.834,6.035,0.516,1.495,A1
18.807,3.258,13.647,24.238,1.834,18.637,9.754,2.85,6.834,9.98,5.595,16.818,11.474,3.235,0.876,11.112,A1
18.807,0.202,8.759,9.708,5.908,15.073,12.923,9.574,9.425,8.453,7.161,5.471,2.785,4.379,3.751,2.739,A1
6.586,7.435,16.498,7.945,16.382,2.343,8.849,0.001,10.907,1.39,14.837,12.89,8.759,3.362,0.397,2.852,A1
0.202,35.949,2.647,2.918,10.563,22.455,7.265,9.98,0.167,13.885,18.284,2.125,0.748,1.325,5.908,1.721,A1
1.561,4.889,11.61,14.393,6.198,13.545,10.66,12.221,10.351,4.72,2.71,2.852,12.967,4.762,3.99,4.776,A1
10.66,2.239,9.98,0.476,7.653,7.18,5.454,9.574,3.871,4.04,15.308,0.93,11.067,5.78,0.802,16.091,A1
14.733,12.017,1.02,8.284,16.673,4.125,8.623,14.665,5.758,6.416,0.111,1.688,9.302,11.89,5.667,6.426,A1
13.375,12.526,15.684,3.597,12.89,16.6,2.061,3.054,7.018,4.276,4.027,5.471,7.537,1.834,7.465,7.378,A1
2.513,3.871,12.425,8.962,4.743,7.18,16.317,20.367,12.943,2.749,4.654,6.053,8.487,7.689,7.824,7.604,A1
6.586,17.109,5.5,13.375,10.272,8.453,10.886,7.129,4.055,14.563,9.198,7.653,4.55,5.271,7.345,8.736,A1
3.871,7.945,2.241,5.295,5.035,10.745,10.434,2.852,0.353,5.568,1.677,3.258,8.215,6.162,4.47,3.418,A1
14.054,20.673,11.203,5.973,9.108,1.579,15.186,3.463,3.905,4.889,4.34,0.202,1.155,8.453,3.871,4.21,A1
9.98,7.945,14.462,3.871,9.98,8.962,14.733,0.814,7.018,1.051,7.945,10.417,2.105,3.362,0.083,8.284,A1
16.496,1.73,12.017,9.641,9.69,0.458,22.427,15.276,8.129,5.738,2.774,11.436,13.103,8.58,6.626,6.699,A1
12.017,8.453,2.649,3.937,3.112,10.999,7.945,1.628,1.128,6.926,0.737,7.508,0.067,11.636,9.142,10.207,A1
14.054,9.472,4.276,3.532,3.289,10.49,9.98,2.038,5.722,12.017,0.673,1.803,6.315,0.202,0.682,9.867,A1
12.423,11.404,0.61,3.937,5.616,8.453,3.418,7.129,1.649,11.168,2.304,3.435,9.845,2.852,3.871,4.502,A1
8.349,0.815,4.278,0.542,2.822,6.671,13.601,3.463,13.868,0.137,10.451,15.218,3.871,5.78,8.184,10.999,A1
16.77,1.325,11.61,19.485,0.202,7.945,6.586,17.313,5.166,13.205,0.673,5.616,5.772,5.016,2.718,8.736,A1
9.302,8.962,15.276,8.284,9.399,17.618,3.645,12.628,10.536,14.393,3.245,1.948,3.463,2.471,9.741,2.287,A1
1.834,30.348,0.202,21.183,3.985,2.852,10.434,12.628,3.315,0.646,1.77,9.69,3.871,6.671,9.501,5.228,A1
3.871,4.785,28.311,3.532,1.366,1.985,9.754,7.129,15.165,9.98,0.202,3.143,2.921,7.308,5.309,13.601,A1
11.338,6.416,12.425,4.21,8.526,13.29,12.697,5.703,1.128,12.866,7.004,13.182,9.438,2.725,4.35,3.532,A1
2.513,6.926,13.645,3.191,10.563,14.054,7.717,1.223,12.758,0.882,12.33,4.452,2.513,9.853,3.99,7.152,A1
