0.05,0.1,0.2,0.3,Transcript,0.4,0.5,0.6
18.692,9.256,4.79,35.502,A1,,,
15.134,7.947,4.989,37.025,A1,,,
0.789,10.182,2.428,35.127,A1,,,
1.728,0.008,7.131,34.563,A1,,,
0.094,4.873,3.445,36.124,A1,,,
10.324,3.977,5.21,34.767,A1,,,
17.24,2.753,1.56,38.201,A1,,,
9.527,1.56,5.68,35.588,A1,,,
0.862,0.362,3.673,35.526,A1,,,
0.891,8.943,4.847,35.037,A1,,,
1.432,5.087,2.093,36.897,A1,,,
16.045,9.498,1.18,35.45,A1,,,
18.578,9.427,0.767,37.751,A1,,,
8.274,1.517,2.848,36.128,A1,,,
4.022,0.464,4.598,39.947,A1,,,
0.748,1.415,5.167,38.021,A1,,,
1.216,0.362,5.267,37.044,A1,,,
1.529,9.627,1.709,36.005,A1,,,
6.339,2.129,11.493,33.742,A1,,,
8.161,4.347,7.437,35.977,A1,,,
3.208,6.652,5.609,34.828,A1,,,
3.879,4.304,6.32,36.19,A1,,,
1.488,3.265,3.175,35.289,A1,,,
10.369,3.607,3.175,37.964,A1,,,
0.065,4.007,9.06,36.712,A1,,,
0.248,7.051,7.11,35.346,A1,,,
2.069,3.308,6.619,38.927,A1,,,
5.103,5.528,0.706,33.704,A1,,,
0.72,3.45,3.822,39.24,A1,,,
7.193,6.481,3.637,38.073,A1,,,
6.64,2.527,5.246,35.175,A1,,,
4.249,7.791,2.613,36.996,A1,,,
10.381,0.134,6.455,35.303,A1,,,
0.151,2.966,2.221,35.796,A1,,,
7.921,7.833,5.039,37.253,A1,,,
2.143,1.958,2.798,36.456,A1,,,
3.322,2.923,5.416,37.499,A1,,,
8.234,9.385,3.203,37.101,A1,,,
0.106,8.531,9.899,36.351,A1,,,
2.314,2.198,6.889,35.175,A1,,,
9.299,1.927,4.072,34.961,A1,,,
23.844,2.468,5.125,36.014,A1,,,
0.589,8.26,3.495,38.42,A1,,,
2.285,8.758,3.844,36.494,A1,,,
1.813,9.897,8.512,39.302,A1,,,
2.866,2.639,6.647,34.454,A1,,,
4.489,0.933,3.21,34.653,A1,,,
0.122,1.671,4.292,37.542,A1,,,
3.794,4.375,6.391,37.015,A1,,,
3.72,0.717,1.987,34.947,A1,,,
6.567,10.068,4.577,38.178,A1,,,
11.422,0.333,4.079,37.888,A1,,,
9.698,1.36,2.456,34.311,A1,,,
2.143,1.002,4.868,36.014,A1,,,
2.383,5.257,1.695,37.329,A1,,,
4.83,4.019,8.974,33.685,A1,,,
16.557,0.589,5.893,34.084,A1,,,
15.476,4.432,3.787,36.437,A1,,,
1.261,7.435,6.562,33.761,A1,,,
5.542,0.106,4.961,36.095,A1,,,
6.84,3.735,4.627,34.933,A1,,,
19.944,6.894,4.036,39.511,A1,,,
12.845,1.472,7.786,36.565,A1,,,
5.827,3.18,2.748,36.925,A1,,,
4.318,1.913,9.551,36.124,A1,,,
3.663,0.703,4.541,34.193,A1,,,
13.569,1.688,1.816,37.338,A1,,,
2.086,0.291,2.513,37.959,A1,,,
2.371,2.468,3.275,36.309,A1,,,
3.339,1.83,4.143,36.266,A1,,,
2.696,4.29,7.501,37.874,A1,,,
14.366,0.347,5.324,37.404,A1,,,
4.204,9.954,1.51,34.036,A1,,,
7.933,7.164,6.818,37.049,A1,,,
6.254,0.234,5.303,40.422,A1,,,
3.834,4.916,4.968,37.11,A1,,,
3.566,13.711,3.758,36.095,A1,,,
10.068,2.297,0.049,35.706,A1,,,
1.289,5.272,6.939,38.467,A1,,,
8.331,10.665,3.246,33.676,A1,,,
0.919,0.219,3.275,37.884,A1,,,
0.419,7.051,3.154,37.096,A1,,,
2.428,8.644,5.438,38.462,A1,,,
12.658,11.22,5.359,36.541,A1,,,
6.994,4.235,6.562,36.74,A1,,,
6.868,7.862,4.37,35.213,A1,,,
0.293,1.557,2.2,34.966,A1,,,
13.227,1.047,5.31,35.018,A1,,,
14.679,4.873,4.854,36.214,A1,,,
2.826,9.427,3.659,35.573,A1,,,
3.009,1.472,4.819,37.732,A1,,,
14.679,3.293,8.263,38.358,A1,,,
2.753,0.433,7.316,35.298,A1,,,
0.663,3.04,3.837,35.412,A1,,,
3.236,1.002,2.648,34.809,A1,,,
1.062,5.4,2.833,36.451,A1,,,
0.191,8.346,5.196,35.426,A1,,,
1.745,5.428,4.114,37.509,A1,,,
0.748,4.916,4.342,37.822,A1,,,
0.219,4.748,4.655,35.839,A1,,,
6.011,7.593,3.44,1.024,A2,,,
6.189,0.167,0.619,1.315,A2,,,
3.202,2.523,3.068,1.726,A2,,,
10.438,1.952,0.452,2.029,A2,,,
8.736,0.065,3.523,1.398,A2,,,
4.808,2.987,1.336,0.351,A2,,,
19.519,2.065,1.675,1.262,A2,,,
7.058,3.69,2.871,0.512,A2,,,
4.201,1.88,5.746,1.041,A2,,,
1.476,0.19,0.158,1.202,A2,,,
6.451,2.476,1.038,0.559,A2,,,
3.094,1.886,2.958,0.137,A2,,,
10.831,0.095,0.289,0.292,A2,,,
7.546,0.274,3.261,0.476,A2,,,
8.415,1.077,3.05,2.559,A2,,,
0.262,0.315,1.788,0.518,A2,,,
0.083,6.237,1.181,0.054,A2,,,
11.188,0.595,2.199,0.321,A2,,,
0.619,5.862,3.913,2.499,A2,,,
5.701,1.422,0.693,0.613,A2,,,
7.129,1.119,0.324,2.006,A2,,,
1.916,1.773,1.69,1.22,A2,,,
6.165,8.825,2.967,0.339,A2,,,
1.559,5.296,2.824,1.553,A2,,,
4.808,3.934,2.434,1.077,A2,,,
3.261,4.225,5.279,1.333,A2,,,
14.949,2.94,1.291,0.101,A2,,,
7.831,2.083,1.244,0.916,A2,,,
4.558,0.684,1.193,0.399,A2,,,
7.486,2.672,2.413,0.19,A2,,,
3.416,3.654,1.155,0.631,A2,,,
3.773,4.898,2.746,0.994,A2,,,
6.903,1.024,3.163,0.738,A2,,,
0.726,3.529,0.137,0.0,A2,,,
6.546,3.743,0.958,2.226,A2,,,
12.735,3.898,0.503,0.553,A2,,,
2.952,5.326,2.342,2.196,A2,,,
1.131,7.564,1.622,0.78,A2,,,
3.225,1.863,0.595,0.417,A2,,,
6.903,7.135,1.11,0.899,A2,,,
3.297,5.136,0.253,0.672,A2,,,
7.153,12.402,0.253,1.512,A2,,,
2.773,4.547,0.97,1.232,A2,,,
9.367,8.046,1.895,0.857,A2,,,
15.734,1.119,0.44,0.934,A2,,,
7.653,5.826,2.639,1.506,A2,,,
3.737,2.386,0.417,0.292,A2,,,
8.415,2.565,3.112,1.518,A2,,,
6.082,8.611,0.53,1.904,A2,,,
7.51,0.958,0.039,2.035,A2,,,
9.724,6.011,0.417,1.273,A2,,,
8.022,3.023,1.387,1.262,A2,,,
4.654,1.113,0.711,2.19,A2,,,
1.155,3.059,7.406,1.303,A2,,,
4.38,15.49,0.601,1.601,A2,,,
3.094,4.719,2.895,1.119,A2,,,
9.974,0.113,2.047,2.029,A2,,,
16.758,0.405,0.244,2.047,A2,,,
7.26,2.511,0.872,1.357,A2,,,
3.951,6.344,1.797,3.309,A2,,,
7.522,6.397,2.761,2.374,A2,,,
1.797,0.238,3.35,1.053,A2,,,
2.345,4.743,1.97,1.428,A2,,,
4.737,1.916,2.746,2.19,A2,,,
3.654,2.119,1.657,1.268,A2,,,
1.797,5.219,2.502,1.66,A2,,,
3.809,1.934,6.359,0.797,A2,,,
9.057,2.708,1.345,2.607,A2,,,
6.903,3.083,1.717,1.208,A2,,,
6.487,0.381,0.167,1.637,A2,,,
6.736,3.202,4.163,1.934,A2,,,
0.655,5.814,0.414,1.095,A2,,,
5.689,3.225,0.994,0.524,A2,,,
4.261,6.808,1.753,1.375,A2,,,
5.844,1.131,0.182,1.869,A2,,,
12.081,4.166,0.922,1.767,A2,,,
1.88,3.077,2.443,1.547,A2,,,
7.058,4.576,2.163,2.94,A2,,,
6.046,1.381,1.592,1.648,A2,,,
6.558,6.808,3.868,0.173,A2,,,
0.905,0.869,0.095,0.708,A2,,,
10.236,4.541,0.55,0.994,A2,,,
9.022,0.905,0.905,1.256,A2,,,
7.915,4.88,2.711,1.756,A2,,,
4.63,1.583,0.318,2.113,A2,,,
17.186,0.958,2.529,1.22,A2,,,
16.448,3.386,1.148,0.214,A2,,,
3.309,0.577,0.887,1.66,A2,,,
2.702,7.468,1.645,1.482,A2,,,
1.845,6.814,0.19,1.077,A2,,,
2.261,9.272,0.074,0.298,A2,,,
1.155,2.154,0.637,0.482,A2,,,
0.381,1.684,1.271,0.018,A2,,,
0.833,6.028,0.961,1.744,A2,,,
14.651,2.773,1.931,3.094,A2,,,
9.093,4.136,1.479,0.893,A2,,,
2.023,1.506,1.904,0.202,A2,,,
13.413,0.44,0.583,1.363,A2,,,
2.916,5.368,1.431,1.428,A2,,,
0.083,4.904,0.673,0.667,A2,,,
14.107,1.222,0.498,3.351,A3,0.586,0.11,3.937
4.285,3.847,0.934,3.025,A3,2.049,1.572,5.508
0.229,1.382,5.547,0.899,A3,0.557,0.531,4.169
7.785,2.456,6.759,0.249,A3,1.81,1.97,4.259
5.02,0.866,1.073,0.314,A3,0.388,0.486,2.841
0.786,2.475,2.057,0.925,A3,1.01,0.88,6.012
17.09,5.119,4.92,1.295,A3,2.585,1.365,5.362
12.477,0.746,0.039,1.25,A3,1.103,2.548,6.714
10.746,4.862,1.343,0.607,A3,2.261,0.065,4.391
3.092,8.797,3.053,0.945,A3,1.875,0.999,4.113
1.998,4.007,3.649,1.447,A3,0.68,1.39,3.324
0.725,2.456,0.655,0.077,A3,1.396,1.079,4.401
8.58,13.987,2.317,3.177,A3,0.606,0.506,4.199
10.547,0.825,3.34,2.693,A3,0.428,1.271,3.391
12.517,7.048,2.705,2.31,A3,1.04,0.794,3.351
5.537,0.964,0.029,0.142,A3,0.621,0.117,4.603
0.349,5.518,4.603,0.156,A3,1.482,1.31,4.759
9.415,1.82,0.298,2.754,A3,0.025,0.272,4.531
11.74,1.819,1.084,1.296,A3,0.745,0.912,6.479
5.995,7.088,0.805,2.123,A3,2.172,0.281,5.465
2.236,0.448,1.292,3.045,A3,1.247,0.237,5.124
4.026,5.081,0.526,1.693,A3,3.186,0.118,4.915
12.636,2.496,3.27,6.128,A3,0.518,0.375,2.728
7.864,7.227,2.117,0.885,A3,0.601,1.128,4.381
5.16,6.453,0.388,5.431,A3,0.408,1.21,6.144
3.092,1.461,3.131,2.489,A3,0.557,0.643,5.226
9.455,7.089,0.05,0.566,A3,0.796,0.443,4.693
3.053,2.078,7.665,3.477,A3,1.426,1.466,4.375
0.468,2.138,7.417,0.811,A3,0.418,3.521,4.885
3.888,1.64,1.898,2.521,A3,0.269,0.856,2.923
1.322,5.457,0.477,0.433,A3,2.644,0.51,3.606
17.625,5.238,3.34,2.74,A3,0.511,0.407,4.193
0.826,1.182,3.171,3.212,A3,4.369,0.217,3.556
7.565,9.514,0.616,0.42,A3,1.242,1.14,5.359
4.564,0.208,4.801,1.82,A3,2.988,1.465,4.772
7.983,7.089,0.914,3.921,A3,0.651,0.345,1.687
3.888,5.079,4.782,0.256,A3,0.766,0.301,5.097
6.292,2.715,1.66,5.273,A3,2.024,1.458,4.405
6.531,3.628,0.874,0.712,A3,1.028,0.98,4.617
11.661,7.327,2.286,2.627,A3,1.182,1.506,5.25
6.451,6.472,3.51,0.673,A3,2.634,0.765,4.978
5.24,5.696,3.609,2.395,A3,1.381,0.531,4.816
16.313,1.025,3.757,2.355,A3,1.998,0.113,5.661
5.757,6.791,2.922,2.403,A3,0.135,0.372,6.055
3.31,5.856,1.401,1.608,A3,0.632,0.4,2.781
5.876,5.777,1.81,0.526,A3,0.511,0.415,7.115
6.274,3.291,1.213,0.72,A3,0.006,0.801,5.82
3.191,3.807,5.447,1.109,A3,0.97,0.196,3.871
1.025,3.172,0.954,2.594,A3,1.979,1.087,4.637
5.757,2.475,6.572,0.614,A3,2.385,0.05,2.32
0.964,6.054,1.143,1.249,A3,2.148,1.711,5.289
4.98,0.148,3.401,0.38,A3,0.587,0.2,4.123
8.36,0.864,0.834,1.673,A3,0.228,1.071,2.423
9.235,9.016,6.054,2.549,A3,0.084,0.77,4.918
2.178,5.876,5.389,1.919,A3,0.084,0.325,4.643
18.601,5.955,3.053,2.693,A3,2.241,0.297,5.515
4.185,2.595,1.124,3.76,A3,2.122,1.601,3.944
3.588,4.821,2.634,0.567,A3,1.472,1.656,4.289
1.025,2.933,5.686,3.23,A3,1.899,0.873,5.946
10.825,1.442,4.723,4.763,A3,0.452,0.237,5.68
6.472,4.623,2.674,1.376,A3,1.068,0.224,4.411
4.763,4.424,2.107,0.394,A3,1.54,1.003,4.69
2.395,8.143,7.645,0.243,A3,0.322,1.2,4.951
1.918,5.697,0.238,1.063,A3,1.899,1.007,3.361
4.802,3.588,3.371,3.018,A3,0.939,0.86,4.027
14.783,4.165,2.922,0.155,A3,0.368,2.198,4.01
