# Percent Error Rates for sampling interval groups at 120 minutes total sampled time
30 seconds,1 minute,5 minutes,10 minutes,30 minutes,60 minutes,Transcript
3.013,5.219,4.904,1.518,13.494,22.938,A2
0.027,6.713,10.6,4.263,2.84,5.598,A2
2.385,11.075,2.243,9.573,0.634,22.328,A2
2.019,1.274,15.771,11.25,17.042,13.748,A2
6.957,0.027,4.713,10.414,11.502,6.632,A2
5.371,0.586,6.513,1.125,24.677,12.958,A2
3.247,5.069,3.758,12.084,13.413,12.864,A2
2.792,2.871,7.486,17.927,17.144,2.334,A2
4.721,7.801,4.711,17.134,15.161,5.181,A2
3.602,1.989,4.914,8.543,23.182,15.436,A2
0.464,7.659,7.773,2.555,14.663,2.108,A2
0.878,4.032,7.547,5.605,6.662,14.653,A2
2.372,2.304,12.264,11.403,29.312,12.203,A2
4.172,2.769,17.205,16.201,13.311,5.801,A2
3.653,0.047,2.972,26.56,17.378,23.327,A2
2.22,14.917,6.734,8.391,10.556,12.823,A2
1.447,1.905,0.319,12.599,11.392,21.729,A2
2.924,1.308,9.916,9.115,21.068,8.025,A2
6.459,4.182,4.182,9.847,4.49,10.485,A2
1.915,1.613,3.382,1.163,16.208,14.958,A2
1.874,0.431,8.495,7.283,7.435,2.993,A2
3.9,0.126,6.401,3.127,3.117,5.941,A2
2.152,8.614,9.417,6.358,1.328,16.046,A2
6.317,2.08,3.127,5.87,15.842,10.119,A2
0.471,1.315,9.113,23.833,8.076,19.828,A2
2.223,1.379,13.588,8.119,4.822,15.141,A2
1.674,3.158,1.142,8.587,32.426,12.671,A2
3.226,8.299,0.25,1.847,5.758,10.221,A2
3.44,3.849,5.506,11.4,4.802,16.076,A2
7.001,5.249,0.41,10.874,8.147,6.693,A2
0.006,3.138,7.333,12.701,13.26,15.558,A2
3.918,8.8,1.826,14.48,13.403,17.327,A2
0.698,2.944,4.497,2.301,20.753,1.653,A2
5.029,2.789,1.793,9.794,15.55,7.662,A2
0.481,0.189,1.437,0.827,15.761,20.468,A2
4.019,7.028,2.416,3.371,13.331,12.915,A2
3.826,9.153,15.619,10.902,12.122,9.235,A2
0.576,0.972,2.101,7.885,16.361,15.487,A2
1.051,2.505,5.557,15.245,14.745,10.485,A2
3.249,8.139,9.834,15.639,1.081,9.794,A2
8.442,1.051,4.947,3.897,4.246,3.48,A2
3.188,5.809,2.464,5.697,0.776,11.237,A2
0.268,10.64,10.393,1.285,10.101,13.443,A2
5.026,2.833,7.272,26.72,9.397,23.162,A2
7.102,5.791,6.53,4.314,0.126,15.354,A2
3.47,1.244,12.66,7.923,18.719,15.182,A2
5.331,0.921,1.183,6.449,19.617,5.951,A2
3.595,5.059,3.775,11.525,9.227,21.047,A2
0.962,1.155,4.754,3.534,5.75,9.458,A2
5.473,1.237,5.954,2.345,7.214,6.358,A2
1.508,4.571,11.209,7.608,23.254,0.982,A2
5.788,6.053,3.605,4.212,1.02,15.192,A2
1.579,2.667,1.409,4.029,8.119,14.023,A2
2.383,2.741,30.464,0.322,25.561,13.728,A2
7.232,2.647,11.41,0.248,28.634,2.7,A2
5.628,4.256,18.915,13.718,6.856,20.102,A2
7.374,0.118,4.894,9.702,12.904,18.933,A2
1.773,3.046,10.528,16.354,22.715,11.342,A2
1.643,8.909,9.377,5.107,7.323,0.004,A2
9.113,1.407,11.756,7.008,4.568,20.6,A2
0.545,2.464,1.427,5.798,13.891,16.513,A2
5.13,4.805,2.009,11.258,3.585,16.696,A2
1.468,2.576,7.242,8.688,8.363,8.157,A2
3.829,4.083,2.497,15.212,9.184,14.226,A2
5.903,8.597,6.612,19.035,11.179,21.901,A2
3.066,14.816,4.65,4.965,7.283,13.972,A2
0.85,13.294,10.617,17.164,13.413,18.384,A2
0.095,5.066,7.862,5.608,3.999,23.701,A2
2.311,1.234,10.393,9.153,25.277,16.259,A2
2.253,4.927,10.386,12.833,8.96,24.097,A2
4.578,2.375,1.742,16.513,8.228,10.325,A2
3.229,4.131,8.259,3.097,6.093,8.698,A2
0.055,7.313,9.204,8.838,13.728,16.463,A2
2.467,1.813,6.391,4.182,2.179,1.206,A2
3.562,1.651,0.665,8.017,3.45,26.496,A2
4.782,1.742,2.271,26.194,16.646,10.884,A2
2.517,0.4,2.863,3.979,20.905,6.693,A2
4.334,2.047,1.356,25.653,13.667,2.456,A2
1.234,0.2,4.141,4.629,22.748,15.192,A2
3.829,5.577,1.691,6.225,10.292,2.406,A2
2.677,3.094,12.063,0.708,7.872,2.21,A2
0.746,1.084,13.718,16.686,8.309,13.27,A2
0.057,7.265,8.983,3.094,5.717,22.532,A2
2.04,0.017,10.393,3.514,2.385,14.185,A2
1.193,5.384,6.012,9.011,16.91,16.605,A2
3.68,5.586,2.439,24.402,20.824,11.092,A3
5.288,5.544,18.161,22.828,17.549,7.398,A3
0.341,7.381,12.374,9.122,8.919,18.504,A3
3.162,11.588,4.729,2.614,16.348,1.85,A3
3.855,3.651,2.637,1.174,11.523,4.817,A3
1.64,0.12,4.321,4.251,22.322,6.938,A3
1.454,2.957,2.025,5.894,24.169,6.43,A3
1.064,5.959,8.528,15.358,7.264,10.416,A3
3.179,0.936,8.365,12.945,15.842,9.495,A3
6.337,6.896,10.031,12.304,28.632,7.584,A3
1.057,6.122,2.071,20.194,21.22,20.835,A3
5.259,1.116,1.582,9.728,9.006,19.973,A3
0.539,0.428,1.966,11.966,6.5,13.394,A3
4.082,7.754,5.987,6.081,5.789,25.311,A3
3.919,6.372,13.033,3.593,10.504,18.679,A3
8.698,2.573,23.277,11.588,11.442,10.836,A3
2.328,6.174,9.828,5.078,21.494,2.701,A3
2.357,11.378,3.371,16.581,0.731,23.761,A3
2.369,1.157,6.558,11.383,7.083,20.591,A3
3.342,8.301,12.159,20.299,15.008,11.92,A3
0.714,4.77,9.903,1.087,23.667,26.523,A3
0.58,6.04,2.281,14.565,6.325,7.479,A3
1.169,1.577,19.18,0.335,17.351,8.248,A3
2.992,3.488,2.019,18.487,15.579,1.582,A3
6.826,5.265,2.048,11.034,18.458,22.246,A3
1.46,0.253,12.31,1.04,21.156,23.259,A3
0.51,6.856,10.434,6.558,23.131,4.297,A3
0.3,4.95,3.232,2.13,23.306,20.148,A3
1.116,0.615,11.01,10.008,14.565,20.229,A3
2.339,4.635,5.544,19.711,8.202,25.031,A3
3.19,6.215,1.652,6.996,26.716,21.465,A3
3.593,6.949,0.283,12.164,0.58,26.453,A3
0.469,2.456,13.686,3.243,11.092,25.73,A3
1.489,8.558,6.675,1.209,52.204,3.388,A3
5.23,2.374,4.199,10.213,6.442,23.353,A3
4.927,0.393,1.395,16.733,17.537,14.903,A3
1.798,13.843,17.94,8.989,7.456,10.02,A3
0.504,0.213,7.677,5.842,13.488,12.549,A3
6.407,0.026,15.171,22.712,18.085,21.989,A3
1.768,1.337,11.698,2.304,9.723,21.01,A3
2.952,0.172,9.502,1.978,1.011,25.52,A3
7.025,9.991,2.194,1.973,18.819,28.329,A3
1.64,4.315,14.332,8.749,16.139,33.772,A3
5.865,3.225,9.187,0.796,7.549,26.977,A3
8.132,6.896,6.029,1.244,11.5,9.577,A3
2.218,1.314,4.362,11.506,16.29,27.875,A3
0.486,0.971,4.799,6.826,15.76,20.054,A3
2.066,5.405,9.012,23.546,1.635,3.453,A3
2.357,2.235,4.344,4.764,12.299,1.646,A3
6.069,3.19,5.959,8.68,11.873,22.863,A3
1.448,13.709,5.038,12.782,15.311,18.085,A3
4.146,0.924,0.714,2.206,19.285,25.567,A3
6.069,9.245,7.432,2.998,10.952,15.428,A3
4.327,0.539,2.596,3.01,17.432,12.491,A3
2.945,14.181,1.005,16.08,18.656,27.082,A3
2.141,8.08,0.061,7.083,6.623,6.15,A3
3.919,5.294,6.057,20.556,19.513,16.756,A3
2.427,6.419,1.628,7.654,9.618,11.943,A3
3.796,6.547,4.216,0.684,10.644,23.842,A3
5.737,0.137,4.723,13.481,18.761,19.448,A3
1.244,3.027,4.542,6.25,28.114,16.29,A3
4.158,1.454,7.444,16.104,11.477,23.259,A3
2.066,4.898,4.216,13.703,22.933,20.369,A3
5.691,9.076,0.318,13.132,17.84,9.227,A3
3.773,0.493,2.824,8.395,3.4,10.661,A3
4.146,5.283,6.506,0.253,5.719,10.346,A3
4.176,5.05,3.045,17.467,12.491,13.936,A3
6.32,1.472,13.371,2.456,11.989,21.896,A3
7.001,0.388,10.043,6.681,23.79,2.532,A3
5.999,1.437,2.975,11.302,8.703,12.567,A3
2.025,3.26,6.99,13.982,19.763,4.484,A3
0.871,3.733,2.695,2.491,15.87,19.472,A3
9.892,6.11,20.381,21.25,18.551,5.964,A3
2.386,0.23,0.306,4.49,2.998,9.367,A3
4.356,6.547,0.458,13.609,13.411,12.619,A3
1.005,5.078,7.502,0.043,16.267,24.553,A3
5.556,1.78,10.288,5.038,11.541,10.323,A3
5.306,4.315,1.174,8.971,18.108,24.845,A3
4.146,2.521,3.08,4.997,19.682,23.329,A3
1.495,6.099,1.512,10.393,0.901,19.052,A3
1.518,0.271,0.778,1.239,11.453,17.793,A3
0.172,8.691,14.95,27.106,12.397,21.605,A3
6.255,5.213,13.826,4.828,14.693,25.812,A3
8.225,8.977,1.081,28.154,8.039,27.409,A3
1.71,1.71,5.026,1.378,9.146,16.768,A3
0.999,5.889,3.691,8.08,10.399,24.833,A3
4.012,6.931,3.651,17.735,10.474,6.838,A3
5.463,1.081,5.178,4.577,36.75,25.754,A3
8.907,0.335,5.335,0.428,0.481,23.271,A3
2.031,8.872,5.416,21.01,15.311,23.819,A3
0.673,0.043,7.561,19.495,4.192,18.982,A3
0.05,3.004,0.842,5.562,10.999,21.605,A3
6.593,3.994,2.398,11.908,7.269,17.234,A3
3.406,3.575,14.763,7.351,16.628,15.393,A3
5.987,0.16,1.628,7.322,17.7,2.188,A3
1.425,5.09,8.861,12.421,10.842,18.493,A3
4.95,9.635,0.434,2.369,4.612,22.805,A3
0.498,3.54,13.4,18.446,0.032,6.402,A3
2.013,11.127,12.992,2.631,18.574,15.532,A3
0.831,0.959,6.407,18.021,24.681,20.334,A3
11.516,11.025,25.573,5.097,4.499,61.245,B1
7.756,3.31,7.756,1.76,47.995,38.915,B1
1.06,5.307,10.032,38.159,80.382,7.848,B1
1.376,11.978,13.277,28.935,49.899,32.072,B1
2.754,5.242,11.265,6.061,45.915,21.218,B1
2.714,29.714,23.308,3.178,4.951,67.598,B1
10.563,7.519,24.579,12.997,0.37,52.932,B1
6.551,11.872,5.135,9.372,8.115,37.922,B1
0.98,17.287,29.198,32.692,16.902,60.568,B1
16.491,0.411,1.139,6.91,1.404,17.113,B1
9.134,8.022,18.9,36.215,35.763,8.417,B1
2.514,23.652,11.422,26.591,4.289,11.993,B1
9.304,4.645,17.683,7.228,28.51,18.465,B1
1.296,5.36,29.675,17.246,5.759,38.915,B1
8.075,1.814,21.27,6.247,18.04,53.658,B1
2.569,14.082,30.298,46.777,56.916,58.318,B1
0.304,7.319,7.994,38.677,15.194,83.23,B1
3.321,0.211,12.322,0.822,16.692,21.258,B1
6.063,0.107,32.919,37.552,33.555,55.114,B1
3.692,7.597,15.328,10.484,37.777,34.746,B1
4.184,2.488,0.568,19.59,20.173,36.864,B1
10.879,13.487,0.648,21.113,24.473,36.758,B1
4.223,5.81,8.92,20.925,42.897,19.615,B1
4.779,6.963,2.805,17.736,21.046,36.451,B1
4.976,6.937,22.304,2.052,33.367,9.688,B1
5.242,8.578,29.079,5.203,23.295,23.124,B1
8.035,0.131,25.944,19.445,10.96,40.899,B1
0.742,1.245,8.775,27.929,56.003,114.664,B1
4.051,2.953,1.722,1.283,68.893,30.14,B1
8.869,5.452,10.495,25.571,17.803,33.065,B1
2.21,0.648,9.463,32.309,0.491,10.72,B1
8.523,2.21,8.404,21.033,14.585,73.102,B1
2.765,9.729,19.789,0.807,14.137,47.093,B1
4.859,13.884,32.785,25.758,52.308,15.075,B1
7.663,6.3,17.83,4.42,22.383,111.103,B1
0.899,8.404,5.481,41.576,22.41,6.829,B1
7.703,1.534,27.027,9.503,27.32,26.63,B1
13.727,1.854,17.856,35.909,7.411,9.915,B1
9.226,1.907,12.878,24.632,51.066,19.233,B1
0.477,3.747,15.882,15.712,34.031,55.353,B1
0.914,1.152,29.848,1.601,49.729,45.573,B1
7.069,6.076,0.065,7.875,43.956,35.657,B1
0.979,8.206,14.111,18.186,30.404,39.588,B1
2.792,9.266,1.627,28.113,36.784,33.978,B1
10.112,4.301,6.222,15.739,14.097,9.226,B1
0.701,3.045,7.835,20.515,47.241,17.076,B1
14.375,3.019,20.012,15.181,17.552,3.335,B1
2.026,8.47,6.71,5.347,10.244,111.805,B1
2.13,6.67,5.466,30.482,2.105,25.176,B1
12.282,10.548,1.032,23.308,4.327,24.858,B1
1.682,7.028,11.806,10.815,31.395,37.3,B1
12.072,1.523,11.291,28.935,9.121,125.266,B1
11.238,0.899,4.83,28.273,31.093,3.601,B1
6.142,3.838,8.404,3.601,45.374,51.807,B1
15.99,16.361,9.584,11.569,39.443,1.323,B1
0.385,2.342,0.53,26.923,37.828,16.319,B1
6.857,8.589,14.003,12.375,21.296,87.715,B1
0.886,13.182,33.407,52.904,0.213,10.853,B1
7.32,11.41,8.048,18.664,39.987,100.263,B1
0.356,1.945,6.538,5.664,37.049,9.106,B1
2.011,6.154,24.036,12.388,10.376,52.191,B1
0.689,18.159,9.849,3.176,16.731,59.403,B1
4.753,9.2,8.141,5.692,8.02,4.091,B1
1.589,4.261,14.468,29.648,13.555,10.378,B1
3.666,3.31,5.426,24.594,25.229,42.553,B1
5.851,3.879,15.871,25.772,30.431,14.109,B1
3.493,15.646,15.037,14.731,15.924,18.73,B1
0.304,5.388,1.457,9.319,73.221,36.902,B1
1.654,7.122,5.479,11.569,22.992,101.057,B1
6.908,12.311,29.913,1.68,58.887,55.275,B1
4.011,0.158,2.157,14.837,38.425,38.32,B1
5.916,13.78,15.154,21.92,27.133,52.083,B1
10.127,7.385,11.993,21.801,0.689,26.048,B1
5.611,16.068,9.913,7.253,2.567,0.992,B1
2.355,24.473,11.027,36.346,20.211,4.063,B1
2.833,6.577,25.282,23.323,44.938,36.639,B1
0.661,18.702,19.867,17.208,18.823,57.14,B1
7.094,16.505,9.054,2.78,5.32,25.057,B1
13.129,2.315,1.682,11.093,32.52,10.337,B1
1.587,19.379,0.356,1.179,28.814,55.392,B1
0.807,8.776,9.624,6.367,10.323,68.073,B1
2.845,10.694,20.621,53.263,14.003,29.291,B1
4.301,2.408,4.301,16.558,75.485,29.518,B1
0.199,4.885,4.446,5.097,5.348,42.831,B1
1.627,8.366,28.697,27.067,22.845,47.77,B1
6.975,8.988,18.953,5.984,34.071,6.222,B1
3.745,7.253,26.989,49.688,47.146,71.661,B1
3.467,14.68,20.107,1.457,71.474,38.424,B1
4.01,10.047,12.07,15.222,36.729,43.93,B1
3.654,13.513,33.21,51.342,52.8,49.873,B1
2.516,10.548,10.614,28.774,58.344,35.379,B1
2.741,17.894,25.335,2.833,19.536,37.208,B1
15.765,1.669,2.357,19.233,7.718,25.81,B1
5.679,16.121,6.008,24.25,38.927,20.318,B1
5.534,4.263,4.859,3.217,6.857,32.893,B1
3.614,5.466,30.032,28.922,29.0,21.946,B1
7.332,7.704,34.665,7.239,46.696,26.538,B1
10.669,11.199,4.539,13.819,49.663,6.897,B1
8.801,7.107,6.591,20.065,68.591,35.593,B1
2.196,6.526,0.409,16.93,75.167,82.076,B1
19.264,2.07,8.64,4.789,27.732,10.02,B2
11.44,9.719,13.227,5.114,48.015,48.849,B2
0.91,16.56,9.173,48.919,11.069,1.371,B2
2.753,11.7,28.063,11.331,26.94,17.912,B2
10.728,5.048,5.403,41.257,55.721,65.2,B2
9.143,9.293,5.103,53.85,48.985,61.428,B2
7.875,1.836,22.665,20.056,42.17,49.616,B2
15.494,4.554,1.016,33.674,37.908,13.53,B2
0.882,12.749,9.266,10.058,16.999,34.931,B2
3.587,2.33,9.089,9.157,8.886,46.925,B2
4.704,0.183,8.312,11.561,16.808,1.836,B2
2.781,1.044,13.066,11.192,29.155,0.595,B2
3.243,10.634,17.095,44.685,0.022,86.972,B2
8.884,6.687,17.19,0.251,21.138,5.018,B2
5.128,10.55,28.91,7.07,22.624,41.5,B2
