30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,Transcript
6.758,2.211,1.398,1.977,0.5,2.291,4.438,8.867,6.347,1.493,4.763,2.307,1.414,10.542,15.481,22.425,A1
0.91,16.094,15.281,6.928,0.437,3.493,10.106,4.982,4.194,6.856,1.815,0.022,5.195,11.632,11.651,18.437,A1
10.883,1.43,0.367,1.592,6.727,1.013,2.844,3.82,1.187,5.206,4.373,3.967,3.072,10.239,19.311,18.437,A1
2.964,7.08,8.049,15.582,3.066,1.552,7.068,0.507,1.885,2.892,0.668,6.458,2.462,10.677,12.658,16.464,A1
5.574,0.65,5.984,0.991,6.127,0.3,0.333,2.808,6.004,3.35,0.532,2.83,5.396,9.769,14.994,20.314,A1
11.529,7.403,0.128,5.072,6.804,7.982,1.326,1.217,2.423,2.372,4.001,0.854,3.746,7.441,12.221,19.848,A1
26.954,0.516,0.817,2.264,7.434,1.031,1.783,0.903,4.546,5.511,2.577,5.297,2.935,8.544,13.386,17.044,A1
15.618,10.793,6.198,1.87,4.728,1.717,7.798,1.613,4.018,5.699,3.877,4.559,7.197,7.327,13.209,19.005,A1
6.408,3.421,7.47,4.453,7.542,6.61,6.495,4.153,2.492,4.551,5.077,4.321,4.506,13.118,18.235,19.208,A1
6.264,9.475,7.662,6.058,8.833,2.04,10.01,2.508,4.39,1.251,8.016,3.867,6.099,10.804,16.684,18.24,A1
3.574,20.398,1.893,0.148,6.558,0.426,1.951,1.807,3.392,6.094,6.451,5.236,1.292,11.369,12.652,21.606,A1
2.928,3.341,1.249,2.695,1.329,9.475,1.015,0.367,5.143,4.516,5.756,4.951,5.812,11.188,13.31,17.086,A1
12.793,5.924,2.13,1.027,6.834,9.784,1.484,5.176,2.003,6.515,4.771,4.344,1.601,8.06,17.855,20.643,A1
2.309,3.933,0.517,9.896,1.423,0.722,1.879,10.363,1.734,8.193,4.705,3.798,2.978,6.204,17.159,19.029,A1
2.318,1.807,1.484,2.318,3.76,11.076,3.948,3.24,3.441,7.027,5.003,2.568,4.126,9.668,11.557,20.434,A1
2.309,10.067,3.186,6.228,9.264,0.879,5.61,4.293,4.341,1.753,5.781,4.99,1.192,8.349,18.97,18.401,A1
4.506,5.619,14.506,0.381,0.055,0.543,8.204,8.2,3.832,0.345,5.044,4.006,4.944,10.845,12.285,17.762,A1
8.121,1.717,2.302,9.125,1.129,5.264,7.176,1.936,7.286,4.991,5.739,3.621,0.941,9.459,16.773,17.773,A1
9.026,4.004,3.12,3.511,9.294,2.628,3.278,3.787,10.133,4.399,4.994,3.952,8.302,12.224,17.336,20.697,A1
8.946,1.861,1.118,1.224,3.574,2.578,7.021,4.842,6.043,1.197,0.205,4.567,0.948,9.473,17.013,19.412,A1
3.457,2.534,0.453,13.304,3.529,8.52,4.282,2.024,3.558,6.228,3.074,3.62,8.775,9.822,13.892,22.138,A1
7.448,7.071,9.383,4.148,0.76,4.986,10.118,1.721,2.56,5.529,0.218,0.746,2.785,10.132,16.266,18.545,A1
15.833,3.314,8.157,7.923,0.008,5.359,0.647,1.839,4.361,1.036,4.58,3.783,4.915,7.731,16.469,19.418,A1
22.9,4.74,1.529,14.703,0.347,3.516,4.868,0.72,3.177,0.13,5.176,1.907,3.954,8.733,16.121,18.957,A1
2.883,2.507,17.885,9.609,9.663,1.283,8.922,0.141,3.216,1.628,5.93,4.713,5.274,11.403,13.082,20.332,A1
0.74,6.166,16.702,0.516,7.865,1.099,5.466,2.046,7.716,6.246,4.911,1.883,2.089,7.408,17.855,18.419,A1
3.681,1.511,14.829,6.524,8.633,1.094,11.648,2.281,4.292,5.959,6.319,4.828,3.079,11.672,11.101,21.038,A1
1.126,11.331,0.065,10.578,10.078,1.108,7.379,4.368,7.56,1.305,0.027,2.115,6.924,8.248,14.722,24.051,A1
2.919,7.054,3.789,3.26,5.651,3.072,6.04,1.71,0.922,1.188,4.862,2.084,6.221,6.399,15.26,18.509,A1
18.739,1.915,2.928,10.632,7.342,0.13,4.749,3.843,4.458,2.794,6.94,3.468,0.826,9.177,12.823,23.507,A1
8.488,18.649,2.175,1.484,12.415,0.381,5.825,8.512,6.268,5.708,6.112,3.368,7.584,9.284,12.24,19.465,A1
2.928,0.426,3.443,1.045,1.698,3.892,2.788,9.061,6.376,4.91,1.675,5.974,3.897,9.674,11.974,18.742,A1
6.542,17.277,2.948,15.062,9.479,5.668,0.36,6.542,6.983,3.69,3.637,1.861,4.004,7.838,13.304,19.436,A1
26.344,2.157,3.185,1.511,5.804,7.107,3.445,9.308,4.713,1.753,0.403,0.522,3.072,10.065,12.297,22.198,A1
2.39,0.112,5.961,1.969,5.389,8.856,6.853,0.205,2.257,3.646,0.974,4.021,1.472,6.849,13.405,17.893,A1
0.444,3.816,14.485,3.933,1.684,1.888,8.599,2.065,4.273,3.744,0.383,4.667,4.987,6.701,14.139,21.516,A1
0.776,9.439,1.873,8.551,5.543,4.457,1.209,1.904,3.138,0.578,3.819,4.682,3.803,9.964,17.931,23.394,A1
0.839,4.74,1.226,2.274,1.037,2.726,0.058,5.531,5.456,5.368,4.208,6.243,2.462,10.65,10.208,21.086,A1
0.157,2.094,1.809,0.552,10.247,0.906,3.792,1.581,5.642,1.26,1.873,0.468,1.816,10.219,14.715,22.204,A1
15.869,8.641,2.216,3.565,2.13,2.255,3.015,4.39,6.787,2.022,4.382,2.791,6.135,10.381,13.956,24.763,A1
5.036,6.085,1.249,7.332,5.143,3.516,4.243,1.443,0.946,6.596,5.21,2.361,4.693,5.955,13.639,22.03,A1
3.502,3.305,3.787,0.578,8.172,3.341,3.027,4.261,1.553,5.807,1.36,3.36,3.516,10.576,13.956,18.413,A1
1.206,3.341,9.556,0.318,11.831,7.457,6.327,8.931,5.368,0.399,3.951,1.361,0.724,8.053,13.563,20.332,A1
2.417,2.318,0.647,4.506,1.006,7.551,0.082,6.09,6.356,6.991,0.218,4.659,0.46,11.82,12.715,16.566,A1
2.713,8.076,0.776,9.879,1.068,2.955,3.625,1.409,3.813,3.986,3.231,3.114,0.517,6.412,16.773,18.527,A1
0.121,0.991,8.63,0.839,5.389,12.179,6.1,7.188,6.435,2.103,3.405,5.42,0.747,7.926,14.133,20.32,A1
15.475,12.677,6.306,11.457,11.17,2.641,4.45,5.046,5.554,4.471,1.032,0.045,1.931,12.089,11.215,17.69,A1
4.103,2.04,2.517,2.3,7.788,1.538,9.771,3.884,1.412,2.175,4.34,1.861,3.602,9.829,11.449,19.424,A1
2.776,2.291,1.658,10.524,0.361,0.063,3.625,8.049,0.306,1.027,4.58,1.477,0.51,10.999,20.141,19.095,A1
0.058,10.766,0.817,1.511,0.484,8.143,0.994,3.734,4.478,5.753,5.301,4.213,3.43,8.37,18.261,18.832,A1
3.027,6.453,7.231,2.632,0.207,0.412,4.856,1.893,2.238,1.897,1.021,2.022,8.151,12.163,15.963,20.817,A1
15.008,8.237,8.63,3.915,1.899,2.0,1.963,1.226,0.692,5.054,1.029,3.029,2.577,8.074,12.126,19.268,A1
1.879,6.058,4.09,5.08,11.155,6.798,7.714,1.174,7.638,7.376,5.309,1.261,2.548,11.289,14.969,23.441,A1
2.417,0.085,0.948,7.045,1.038,3.372,2.139,5.735,0.956,4.677,4.299,0.268,3.072,8.518,13.006,17.911,A1
2.309,6.946,11.751,10.955,11.57,7.955,5.526,8.641,6.308,3.206,1.873,2.676,1.764,12.661,16.045,19.794,A1
